raw	canonical	source	notes
standing	stand	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
sit	sit	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
stands in	stand in	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
smiling	smile	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
including	include	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
seated	seat	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
lit	light	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
suggesting	suggest	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
scattered	scatter	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
facing	face	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
stand in	stand in	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
covered	cover	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
positioned	position	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
line	line	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
sit in	sit in	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_action_synset_selected
features	feature	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
stretches	stretch	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
rests on	rest on	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
sits in	sit in	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
showing	show	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
smiles	smile	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
mounted	mount	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
speaking	speak	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
seen	see	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
displays	display	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
walk	walk	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
framed	frame	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
set	set	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
walks	walk	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
reading	read	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
looking	look	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
suggests	suggest	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
runs	run	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
speaks	speak	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
watching	watch	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
labeled	label	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
includes	include	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
lies	lie	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
displayed	display	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
wear	wear	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
hangs	hang	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
arranged	arrange	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
filled	fill	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
painted	paint	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
glowing	glow	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
stretch	stretch	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
plays	play	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
dressed	dress	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
printed	print	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
casting	cast	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
rises	rise	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
appear	appear	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
creating	create	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
featuring	feature	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
raised	raise	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
hanging	hang	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
play	play	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
made	make	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
displaying	display	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
reflects	reflect	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
walking	walk	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
have	have	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
rides	ride	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_action_synset_selected
illuminated	illuminate	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
surround	surround	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
looking at	look at	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
matching	match	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
smile	smile	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
leading	lead	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
indicating	indicate	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
sitting	sit	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
lined	line	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
leads	lead	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
surrounding	surround	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
grow	grow	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
looks	look	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
pose	pose	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
placed	place	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
rise	rise	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
grows	grow	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
resting on	rest on	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
watch	watch	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
rests	rest	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
blurred	blur	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
gesturing	gesture	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
hold	hold	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
hang	hang	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
extends	extend	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
winds	wind	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
shown	show	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
gestures	gesture	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
illuminating	illuminate	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
set in	set in	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
tiled	tile	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
decorated	decorate	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
covers	cover	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
show	show	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
moving	move	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
flows	flow	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
are	be	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
frame	frame	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
highlighting	highlight	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
gathered	gather	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
curves	curve	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
leaning	lean	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
appearing	appear	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
flanked	flank	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
extended	extend	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
leans	lean	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
hangs on	hang on	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
written on	write on	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
is	be	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
lining	line	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
lines	line	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
form	form	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
attached to	attach to	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
sings	sing	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
marked	mark	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_action_synset_selected
standing in	stand in	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
highlights	highlight	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
reflecting	reflect	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
drives	drive	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
carrying	carry	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
holds in	hold in	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_action_synset_selected
has on	have on	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
holding in	hold in	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_action_synset_selected
sit around	sit around	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
making	make	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
says	say	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
giving	give	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=prior_action_selected_query_reused
winding	wind	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
runs along	run along	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
gather	gather	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
flies	fly	gpic_observed_action_inventory	export_tag=chosen_action_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_verb_synset
