dataset	category_id	label	supercategory	source_version	is_mwe_candidate	mwe_candidate_status	wordnet_source	wordnet_version	wordnet_lexicon_id	selected_lookup_case	selected_query	has_oewn_noun_synset	oewn_synset_count	selected_oewn_synset	selected_oewn_lexfile	all_oewn_synsets	all_oewn_lexfiles	target_oewn_lexfiles	matched_oewn_lexfiles	synset_lemmas	canonical_surface	canonical_selection_tag	canonical_candidate_lemmas	canonical_candidate_lemma_counts	parent_oewn_synsets	parent_oewn_lexfiles	parent_lemmas	parent_selection_tag	selected_oewn_objectness_class	objectness_gate	manual_decision	manual_decision_note	sense_counts_available	wn30_available	wn30_selection_tag	wn30_lemma_counts	synset_selection_tag	decision_basis
COCO	11	fire hydrant	outdoor	instances_2017	true	selected	oewn	2025-plus	oewn:2025+	exact	fire hydrant	true	1	oewn-03351744-n	noun.artifact	oewn-03351744-n	oewn-03351744-n:noun.artifact:fireplug;fire hydrant;plug			fireplug|fire hydrant|plug	fire hydrant	selected_single_label_or_lookup_matched_wordnet_lemma	fire hydrant	fire hydrant:0	oewn-03556096-n	oewn-03556096-n:noun.artifact	oewn-03556096-n:hydrant	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	13	stop sign	outdoor	instances_2017	true	selected	oewn	2025-plus	oewn:2025+	exact	stop sign	true	1	oewn-92470663-n	noun.communication	oewn-92470663-n	oewn-92470663-n:noun.communication:stop sign			stop sign	stop sign	selected_single_label_or_lookup_matched_wordnet_lemma	stop sign	stop sign:-1	oewn-06806967-n	oewn-06806967-n:noun.communication	oewn-06806967-n:street sign	selected_all_immediate_oewn_hypernyms	conditional	manual_override	select:oewn-92470663-n	COCO visual object category; OEWN lexfile is communication because it is a sign.	false	true			manual_select	manual_select
COCO	14	parking meter	outdoor	instances_2017	true	selected	oewn	2025-plus	oewn:2025+	exact	parking meter	true	1	oewn-03897029-n	noun.artifact	oewn-03897029-n	oewn-03897029-n:noun.artifact:parking meter			parking meter	parking meter	selected_single_label_or_lookup_matched_wordnet_lemma	parking meter	parking meter:0	oewn-04445438-n	oewn-04445438-n:noun.artifact	oewn-04445438-n:timer	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	15	bench	outdoor	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	bench	true	7	oewn-02832068-n	noun.artifact	oewn-02832068-n|oewn-09479337-n|oewn-08183086-n|oewn-04607813-n|oewn-08226440-n|oewn-02832300-n|oewn-08345627-n	oewn-02832068-n:noun.artifact:bench|oewn-09479337-n:noun.object:terrace;bench|oewn-08183086-n:noun.group:judiciary;bench|oewn-04607813-n:noun.artifact:workbench;work bench;bench|oewn-08226440-n:noun.group:bench|oewn-02832300-n:noun.artifact:bench|oewn-08345627-n:noun.group:bench			bench	bench	selected_single_label_or_lookup_matched_wordnet_lemma	bench	bench:9	oewn-04169042-n	oewn-04169042-n:noun.artifact	oewn-04169042-n:seat	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-02832068-n:bench%1:06:00:::bench.n.01:9|oewn-09479337-n:bench%1:17:00:::terrace.n.02:1|oewn-08183086-n:bench%1:14:00:::judiciary.n.01:1|oewn-04607813-n:bench%1:06:01:::workbench.n.01:1|oewn-08226440-n:bench%1:14:02:::bench.n.06:0|oewn-02832300-n:bench%1:06:03:::bench.n.07:0|oewn-08345627-n:wn30_missing	selected_by_wn30_lemma_count	selected_by_wn30_lemma_count
COCO	16	bird	animal	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	bird	true	5	oewn-01505702-n	noun.animal	oewn-01505702-n|oewn-07659991-n|oewn-10008583-n|oewn-07138578-n|oewn-04219349-n	oewn-01505702-n:noun.animal:bird|oewn-07659991-n:noun.food:bird;fowl|oewn-10008583-n:noun.person:dame;doll;wench;skirt;chick;bird|oewn-07138578-n:noun.communication:boo;hoot;Bronx cheer;hiss;raspberry;razzing;razz;snort;bird|oewn-04219349-n:noun.artifact:shuttlecock;bird;birdie;shuttle	noun.animal	oewn-01505702-n:noun.animal:bird	bird	bird	selected_single_label_or_lookup_matched_wordnet_lemma	bird	bird:29	oewn-01474323-n	oewn-01474323-n:noun.animal	oewn-01474323-n:vertebrate;craniate	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	17	cat	animal	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	cat	true	9	oewn-02124272-n	noun.animal	oewn-00903174-n|oewn-02124272-n|oewn-10172934-n|oewn-09919605-n|oewn-03614083-n|oewn-02989061-n|oewn-02986962-n|oewn-02130460-n|oewn-02123649-n	oewn-00903174-n:noun.act:computerized tomography;computed tomography;CT;computerized axial tomography;computed axial tomography;CAT|oewn-02124272-n:noun.animal:cat;true cat|oewn-10172934-n:noun.person:guy;cat;hombre;bozo;sod|oewn-09919605-n:noun.person:cat|oewn-03614083-n:noun.artifact:kat;khat;qat;quat;cat;Arabian tea;African tea|oewn-02989061-n:noun.artifact:cat-o'-nine-tails;cat|oewn-02986962-n:noun.artifact:Caterpillar;cat|oewn-02130460-n:noun.animal:big cat;cat|oewn-02123649-n:noun.animal:feline;felid;cat	noun.animal	oewn-02124272-n:noun.animal:cat;true cat|oewn-02130460-n:noun.animal:big cat;cat|oewn-02123649-n:noun.animal:feline;felid;cat	cat|true cat	cat	selected_single_label_or_lookup_matched_wordnet_lemma	cat	cat:18	oewn-02123649-n	oewn-02123649-n:noun.animal	oewn-02123649-n:feline;felid;cat	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-02124272-n:cat%1:05:00:::cat.n.01:18|oewn-02130460-n:cat%1:05:02:::big_cat.n.01:0|oewn-02123649-n:cat%1:05:03::=wn30_missing	selected_by_wn30_lemma_count_after_coco_lexfile	selected_by_wn30_lemma_count_after_coco_lexfile
COCO	18	dog	animal	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	dog	true	7	oewn-02086723-n	noun.animal	oewn-02086723-n|oewn-10133978-n|oewn-10042764-n|oewn-09905672-n|oewn-07692347-n|oewn-03907626-n|oewn-02712903-n	oewn-02086723-n:noun.animal:dog;domestic dog;Canis familiaris|oewn-10133978-n:noun.person:frump;dog|oewn-10042764-n:noun.person:dog|oewn-09905672-n:noun.person:cad;bounder;blackguard;dog;hound;heel|oewn-07692347-n:noun.food:frank;frankfurter;hotdog;hot dog;dog;wiener;wienerwurst;weenie|oewn-03907626-n:noun.artifact:pawl;detent;click;dog|oewn-02712903-n:noun.artifact:andiron;firedog;dog;dog-iron	noun.animal	oewn-02086723-n:noun.animal:dog;domestic dog;Canis familiaris	dog|domestic dog|Canis familiaris	dog	selected_single_label_or_lookup_matched_wordnet_lemma	dog	dog:42	oewn-02085998-n|oewn-01320032-n	oewn-02085998-n:noun.animal|oewn-01320032-n:noun.animal	oewn-02085998-n:canine;canid|oewn-01320032-n:domestic animal;domesticated animal	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	19	horse	animal	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	horse	true	5	oewn-02377103-n	noun.animal	oewn-02377103-n|oewn-03543217-n|oewn-08414813-n|oewn-04147696-n|oewn-03629976-n	oewn-02377103-n:noun.animal:horse;Equus caballus|oewn-03543217-n:noun.artifact:horse;gymnastic horse|oewn-08414813-n:noun.group:cavalry;horse cavalry;horse|oewn-04147696-n:noun.artifact:sawhorse;horse;sawbuck;buck|oewn-03629976-n:noun.artifact:knight;horse	noun.animal	oewn-02377103-n:noun.animal:horse;Equus caballus	horse|Equus caballus	horse	selected_single_label_or_lookup_matched_wordnet_lemma	horse	horse:103	oewn-02376801-n	oewn-02376801-n:noun.animal	oewn-02376801-n:equine;equid	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	20	sheep	animal	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	sheep	true	3	oewn-02414351-n	noun.animal	oewn-02414351-n|oewn-10607482-n|oewn-10607302-n	oewn-02414351-n:noun.animal:sheep|oewn-10607482-n:noun.person:sheep|oewn-10607302-n:noun.person:sheep	noun.animal	oewn-02414351-n:noun.animal:sheep	sheep	sheep	selected_single_label_or_lookup_matched_wordnet_lemma	sheep	sheep:14	oewn-02403683-n	oewn-02403683-n:noun.animal	oewn-02403683-n:bovid	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	21	cow	animal	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	cow	true	3	oewn-02406106-n	noun.animal	oewn-02406106-n|oewn-01890428-n|oewn-09992117-n	oewn-02406106-n:noun.animal:cow;moo-cow|oewn-01890428-n:noun.animal:cow|oewn-09992117-n:noun.person:cow	noun.animal	oewn-02406106-n:noun.animal:cow;moo-cow|oewn-01890428-n:noun.animal:cow	cow|moo-cow	cow	selected_single_label_or_lookup_matched_wordnet_lemma	cow	cow:20	oewn-02405077-n	oewn-02405077-n:noun.animal	oewn-02405077-n:cattle;cows;kine;oxen;Bos taurus	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-02406106-n:cow%1:05:01:::cow.n.01:20;moo--cow%1:05:00::=wn30_missing|oewn-01890428-n:cow%1:05:02:::cow.n.02:1	selected_by_wn30_lemma_count_after_coco_lexfile	selected_by_wn30_lemma_count_after_coco_lexfile
COCO	22	elephant	animal	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	elephant	true	2	oewn-02506148-n	noun.animal	oewn-02506148-n|oewn-06894712-n	oewn-02506148-n:noun.animal:elephant|oewn-06894712-n:noun.communication:elephant	noun.animal	oewn-02506148-n:noun.animal:elephant	elephant	elephant	selected_single_label_or_lookup_matched_wordnet_lemma	elephant	elephant:3	oewn-02505758-n|oewn-02455739-n	oewn-02505758-n:noun.animal|oewn-02455739-n:noun.animal	oewn-02505758-n:proboscidean;proboscidian|oewn-02455739-n:pachyderm	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	23	bear	animal	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	bear	true	2	oewn-02134305-n	noun.animal	oewn-02134305-n|oewn-09864599-n	oewn-02134305-n:noun.animal:bear|oewn-09864599-n:noun.person:bear	noun.animal	oewn-02134305-n:noun.animal:bear	bear	bear	selected_single_label_or_lookup_matched_wordnet_lemma	bear	bear:1	oewn-02077948-n	oewn-02077948-n:noun.animal	oewn-02077948-n:carnivore	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	24	zebra	animal	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	zebra	true	1	oewn-02393701-n	noun.animal	oewn-02393701-n	oewn-02393701-n:noun.animal:zebra	noun.animal	oewn-02393701-n:noun.animal:zebra	zebra	zebra	selected_single_label_or_lookup_matched_wordnet_lemma	zebra	zebra:0	oewn-02376801-n	oewn-02376801-n:noun.animal	oewn-02376801-n:equine;equid	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	25	giraffe	animal	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	giraffe	true	1	oewn-02441664-n	noun.animal	oewn-02441664-n	oewn-02441664-n:noun.animal:giraffe;camelopard;Giraffa camelopardalis	noun.animal	oewn-02441664-n:noun.animal:giraffe;camelopard;Giraffa camelopardalis	giraffe|camelopard|Giraffa camelopardalis	giraffe	selected_single_label_or_lookup_matched_wordnet_lemma	giraffe	giraffe:0	oewn-02401652-n	oewn-02401652-n:noun.animal	oewn-02401652-n:ruminant	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	27	backpack	accessory	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	backpack	true	1	oewn-02772753-n	noun.artifact	oewn-02772753-n	oewn-02772753-n:noun.artifact:backpack;back pack;knapsack;packsack;rucksack;haversack			backpack|back pack|knapsack|packsack|rucksack|haversack	backpack	selected_by_source_label_surface_after_wn30_all_zero	backpack|back pack	backpack:0|back pack:0	oewn-02776042-n	oewn-02776042-n:noun.artifact	oewn-02776042-n:bag	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	28	umbrella	accessory	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	umbrella	true	3	oewn-04514450-n	noun.artifact	oewn-04514450-n|oewn-00831579-n|oewn-00383879-n	oewn-04514450-n:noun.artifact:umbrella|oewn-00831579-n:noun.act:umbrella|oewn-00383879-n:noun.act:umbrella			umbrella	umbrella	selected_single_label_or_lookup_matched_wordnet_lemma	umbrella	umbrella:2	oewn-02955279-n	oewn-02955279-n:noun.artifact	oewn-02955279-n:canopy	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-04514450-n:umbrella%1:06:00:::umbrella.n.01:2|oewn-00831579-n:umbrella%1:04:00:::umbrella.n.02:0|oewn-00383879-n:umbrella%1:04:01:::umbrella.n.03:0	selected_by_wn30_lemma_count	selected_by_wn30_lemma_count
COCO	31	handbag	accessory	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	handbag	true	1	oewn-02777157-n	noun.artifact	oewn-02777157-n	oewn-02777157-n:noun.artifact:bag;handbag;pocketbook;purse			bag|handbag|pocketbook|purse	handbag	selected_single_label_or_lookup_matched_wordnet_lemma	handbag	handbag:3	oewn-03099154-n	oewn-03099154-n:noun.artifact	oewn-03099154-n:container	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	32	tie	accessory	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	tie	true	9	oewn-03821155-n	noun.artifact	oewn-03821155-n|oewn-13953418-n|oewn-13970354-n|oewn-04440511-n|oewn-03679297-n|oewn-07368316-n|oewn-06879174-n|oewn-04440719-n|oewn-04440319-n	oewn-03821155-n:noun.artifact:necktie;tie|oewn-13953418-n:noun.state:affiliation;association;tie;tie-up|oewn-13970354-n:noun.state:tie|oewn-04440511-n:noun.artifact:tie;tie beam|oewn-03679297-n:noun.artifact:link;linkup;tie;tie-in|oewn-07368316-n:noun.event:draw;standoff;tie|oewn-06879174-n:noun.communication:tie|oewn-04440719-n:noun.artifact:tie;railroad tie;crosstie;sleeper|oewn-04440319-n:noun.artifact:tie			necktie|tie	tie	selected_single_label_or_lookup_matched_wordnet_lemma	tie	tie:5	oewn-03821545-n	oewn-03821545-n:noun.artifact	oewn-03821545-n:neckwear	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-03821155-n:tie%1:06:01:::necktie.n.01:5|oewn-13953418-n:tie%1:26:01:::affiliation.n.01:4;tie--up%1:26:00::=wn30_missing|oewn-13970354-n:tie%1:26:00:::tie.n.03:3|oewn-04440511-n:tie%1:06:02:::tie.n.04:1|oewn-03679297-n:tie%1:06:04:::link.n.02:1;tie--in%1:06:00::=wn30_missing|oewn-07368316-n:tie%1:11:00:::draw.n.03:0|oewn-06879174-n:tie%1:10:00:::tie.n.07:0|oewn-04440719-n:tie%1:06:03:::tie.n.08:0|oewn-04440319-n:tie%1:06:00:::tie.n.09:0	selected_by_wn30_lemma_count	selected_by_wn30_lemma_count
COCO	33	suitcase	accessory	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	suitcase	true	1	oewn-02776843-n	noun.artifact	oewn-02776843-n	oewn-02776843-n:noun.artifact:bag;traveling bag;travelling bag;grip;suitcase			bag|traveling bag|travelling bag|grip|suitcase	suitcase	selected_single_label_or_lookup_matched_wordnet_lemma	suitcase	suitcase:11	oewn-02777635-n	oewn-02777635-n:noun.artifact	oewn-02777635-n:baggage;luggage	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	34	frisbee	sports	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	frisbee	true	1	oewn-03402783-n	noun.artifact	oewn-03402783-n	oewn-03402783-n:noun.artifact:Frisbee			Frisbee	Frisbee	selected_single_label_or_lookup_matched_wordnet_lemma	Frisbee	Frisbee:0	oewn-03213277-n|oewn-03971038-n	oewn-03213277-n:noun.artifact|oewn-03971038-n:noun.artifact	oewn-03213277-n:disk;disc|oewn-03971038-n:plaything;toy	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	35	skis	sports	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	morphy	ski	true	1	oewn-04235116-n	noun.artifact	oewn-04235116-n	oewn-04235116-n:noun.artifact:ski			ski	ski	selected_single_label_or_lookup_matched_wordnet_lemma	ski	ski:0	oewn-04127187-n	oewn-04127187-n:noun.artifact	oewn-04127187-n:runner	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	36	snowboard	sports	instances_2017	false	not_mwe	oewn	2025-plus	oewn:2025+	exact	snowboard	true	1	oewn-04258901-n	noun.artifact	oewn-04258901-n	oewn-04258901-n:noun.artifact:snowboard			snowboard	snowboard	selected_single_label_or_lookup_matched_wordnet_lemma	snowboard	snowboard:0	oewn-02859743-n	oewn-02859743-n:noun.artifact	oewn-02859743-n:board	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
COCO	37	sports ball	sports	instances_2017	true	rejected	oewn	2025-plus	oewn:2025+	joined_variant	sportsball	true	1			oewn-90012761-n	oewn-90012761-n:noun.act:sportsball					not_applicable_no_selected_synset						not_applicable_no_selected_synset		not_applicable	reject:oewn-90012761-n	OEWN sportsball sense is an act, not the COCO physical ball category.	false	true			manual_reject	manual_reject
