dataset	category_id	label	supercategory	source_version	wordnet_source	wordnet_version	wordnet_query	is_multiword	has_oewn_noun_synset	oewn_synset_count	selected_oewn_synset	selected_oewn_lexfile	all_oewn_synsets	all_oewn_lexfiles	target_oewn_lexfiles	matched_oewn_lexfiles	synset_lemmas	sense_counts_available	synset_selection_tag	decision_basis
COCO	15	bench	outdoor	instances_2017	oewn	2025	bench	false	true	7			oewn-02832068-n|oewn-09479337-n|oewn-08183086-n|oewn-04607813-n|oewn-08226440-n|oewn-02832300-n|oewn-08345627-n	oewn-02832068-n:noun.artifact:bench|oewn-09479337-n:noun.object:terrace;bench|oewn-08183086-n:noun.group:judiciary;bench|oewn-04607813-n:noun.artifact:workbench;work bench;bench|oewn-08226440-n:noun.group:bench|oewn-02832300-n:noun.artifact:bench|oewn-08345627-n:noun.group:bench	noun.artifact	oewn-02832068-n:noun.artifact:bench|oewn-04607813-n:noun.artifact:workbench;work bench;bench|oewn-02832300-n:noun.artifact:bench		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	16	bird	animal	instances_2017	oewn	2025	bird	false	true	5	oewn-01505702-n	noun.animal	oewn-01505702-n|oewn-07659991-n|oewn-10008583-n|oewn-07138578-n|oewn-04219349-n	oewn-01505702-n:noun.animal:bird|oewn-07659991-n:noun.food:bird;fowl|oewn-10008583-n:noun.person:dame;doll;wench;skirt;chick;bird|oewn-07138578-n:noun.communication:boo;hoot;Bronx cheer;hiss;raspberry;razzing;razz;snort;bird|oewn-04219349-n:noun.artifact:shuttlecock;bird;birdie;shuttle	noun.animal	oewn-01505702-n:noun.animal:bird	bird	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	17	cat	animal	instances_2017	oewn	2025	cat	false	true	9			oewn-00903174-n|oewn-02124272-n|oewn-10172934-n|oewn-09919605-n|oewn-03614083-n|oewn-02989061-n|oewn-02986962-n|oewn-02130460-n|oewn-02123649-n	oewn-00903174-n:noun.act:computerized tomography;computed tomography;CT;computerized axial tomography;computed axial tomography;CAT|oewn-02124272-n:noun.animal:cat;true cat|oewn-10172934-n:noun.person:guy;cat;hombre;bozo;sod|oewn-09919605-n:noun.person:cat|oewn-03614083-n:noun.artifact:kat;khat;qat;quat;cat;Arabian tea;African tea|oewn-02989061-n:noun.artifact:cat-o'-nine-tails;cat|oewn-02986962-n:noun.artifact:Caterpillar;cat|oewn-02130460-n:noun.animal:big cat;cat|oewn-02123649-n:noun.animal:feline;felid;cat	noun.animal	oewn-02124272-n:noun.animal:cat;true cat|oewn-02130460-n:noun.animal:big cat;cat|oewn-02123649-n:noun.animal:feline;felid;cat		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	18	dog	animal	instances_2017	oewn	2025	dog	false	true	7	oewn-02086723-n	noun.animal	oewn-02086723-n|oewn-10133978-n|oewn-10042764-n|oewn-09905672-n|oewn-07692347-n|oewn-03907626-n|oewn-02712903-n	oewn-02086723-n:noun.animal:dog;domestic dog;Canis familiaris|oewn-10133978-n:noun.person:frump;dog|oewn-10042764-n:noun.person:dog|oewn-09905672-n:noun.person:cad;bounder;blackguard;dog;hound;heel|oewn-07692347-n:noun.food:frank;frankfurter;hotdog;hot dog;dog;wiener;wienerwurst;weenie|oewn-03907626-n:noun.artifact:pawl;detent;click;dog|oewn-02712903-n:noun.artifact:andiron;firedog;dog;dog-iron	noun.animal	oewn-02086723-n:noun.animal:dog;domestic dog;Canis familiaris	dog|domestic dog|Canis familiaris	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	19	horse	animal	instances_2017	oewn	2025	horse	false	true	5	oewn-02377103-n	noun.animal	oewn-02377103-n|oewn-03543217-n|oewn-08414813-n|oewn-04147696-n|oewn-03629976-n	oewn-02377103-n:noun.animal:horse;Equus caballus|oewn-03543217-n:noun.artifact:horse;gymnastic horse|oewn-08414813-n:noun.group:cavalry;horse cavalry;horse|oewn-04147696-n:noun.artifact:sawhorse;horse;sawbuck;buck|oewn-03629976-n:noun.artifact:knight;horse	noun.animal	oewn-02377103-n:noun.animal:horse;Equus caballus	horse|Equus caballus	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	20	sheep	animal	instances_2017	oewn	2025	sheep	false	true	3	oewn-02414351-n	noun.animal	oewn-02414351-n|oewn-10607482-n|oewn-10607302-n	oewn-02414351-n:noun.animal:sheep|oewn-10607482-n:noun.person:sheep|oewn-10607302-n:noun.person:sheep	noun.animal	oewn-02414351-n:noun.animal:sheep	sheep	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	21	cow	animal	instances_2017	oewn	2025	cow	false	true	3			oewn-02406106-n|oewn-01890428-n|oewn-09992117-n	oewn-02406106-n:noun.animal:cow;moo-cow|oewn-01890428-n:noun.animal:cow|oewn-09992117-n:noun.person:cow	noun.animal	oewn-02406106-n:noun.animal:cow;moo-cow|oewn-01890428-n:noun.animal:cow		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	22	elephant	animal	instances_2017	oewn	2025	elephant	false	true	2	oewn-02506148-n	noun.animal	oewn-02506148-n|oewn-06894712-n	oewn-02506148-n:noun.animal:elephant|oewn-06894712-n:noun.communication:elephant	noun.animal	oewn-02506148-n:noun.animal:elephant	elephant	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	23	bear	animal	instances_2017	oewn	2025	bear	false	true	2	oewn-02134305-n	noun.animal	oewn-02134305-n|oewn-09864599-n	oewn-02134305-n:noun.animal:bear|oewn-09864599-n:noun.person:bear	noun.animal	oewn-02134305-n:noun.animal:bear	bear	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	24	zebra	animal	instances_2017	oewn	2025	zebra	false	true	1	oewn-02393701-n	noun.animal	oewn-02393701-n	oewn-02393701-n:noun.animal:zebra	noun.animal	oewn-02393701-n:noun.animal:zebra	zebra	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	25	giraffe	animal	instances_2017	oewn	2025	giraffe	false	true	1	oewn-02441664-n	noun.animal	oewn-02441664-n	oewn-02441664-n:noun.animal:giraffe;camelopard;Giraffa camelopardalis	noun.animal	oewn-02441664-n:noun.animal:giraffe;camelopard;Giraffa camelopardalis	giraffe|camelopard|Giraffa camelopardalis	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	27	backpack	accessory	instances_2017	oewn	2025	backpack	false	true	1	oewn-02772753-n	noun.artifact	oewn-02772753-n	oewn-02772753-n:noun.artifact:backpack;back pack;knapsack;packsack;rucksack;haversack	noun.artifact	oewn-02772753-n:noun.artifact:backpack;back pack;knapsack;packsack;rucksack;haversack	backpack|back pack|knapsack|packsack|rucksack|haversack	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	28	umbrella	accessory	instances_2017	oewn	2025	umbrella	false	true	3	oewn-04514450-n	noun.artifact	oewn-04514450-n|oewn-00831579-n|oewn-00383879-n	oewn-04514450-n:noun.artifact:umbrella|oewn-00831579-n:noun.act:umbrella|oewn-00383879-n:noun.act:umbrella	noun.artifact	oewn-04514450-n:noun.artifact:umbrella	umbrella	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	31	handbag	accessory	instances_2017	oewn	2025	handbag	false	true	1	oewn-02777157-n	noun.artifact	oewn-02777157-n	oewn-02777157-n:noun.artifact:bag;handbag;pocketbook;purse	noun.artifact	oewn-02777157-n:noun.artifact:bag;handbag;pocketbook;purse	bag|handbag|pocketbook|purse	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	32	tie	accessory	instances_2017	oewn	2025	tie	false	true	9			oewn-03821155-n|oewn-13953418-n|oewn-13970354-n|oewn-04440511-n|oewn-03679297-n|oewn-07368316-n|oewn-06879174-n|oewn-04440719-n|oewn-04440319-n	oewn-03821155-n:noun.artifact:necktie;tie|oewn-13953418-n:noun.state:affiliation;association;tie;tie-up|oewn-13970354-n:noun.state:tie|oewn-04440511-n:noun.artifact:tie;tie beam|oewn-03679297-n:noun.artifact:link;linkup;tie;tie-in|oewn-07368316-n:noun.event:draw;standoff;tie|oewn-06879174-n:noun.communication:tie|oewn-04440719-n:noun.artifact:tie;railroad tie;crosstie;sleeper|oewn-04440319-n:noun.artifact:tie	noun.artifact	oewn-03821155-n:noun.artifact:necktie;tie|oewn-04440511-n:noun.artifact:tie;tie beam|oewn-03679297-n:noun.artifact:link;linkup;tie;tie-in|oewn-04440719-n:noun.artifact:tie;railroad tie;crosstie;sleeper|oewn-04440319-n:noun.artifact:tie		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	33	suitcase	accessory	instances_2017	oewn	2025	suitcase	false	true	1	oewn-02776843-n	noun.artifact	oewn-02776843-n	oewn-02776843-n:noun.artifact:bag;traveling bag;travelling bag;grip;suitcase	noun.artifact	oewn-02776843-n:noun.artifact:bag;traveling bag;travelling bag;grip;suitcase	bag|traveling bag|travelling bag|grip|suitcase	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	34	frisbee	sports	instances_2017	oewn	2025	frisbee	false	true	1	oewn-03402783-n	noun.artifact	oewn-03402783-n	oewn-03402783-n:noun.artifact:Frisbee	noun.artifact	oewn-03402783-n:noun.artifact:Frisbee	Frisbee	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	35	skis	sports	instances_2017	oewn	2025	skis	false	false	0					noun.artifact			false	no_oewn_noun_synset	no_oewn_noun_synset
COCO	36	snowboard	sports	instances_2017	oewn	2025	snowboard	false	true	1	oewn-04258901-n	noun.artifact	oewn-04258901-n	oewn-04258901-n:noun.artifact:snowboard	noun.artifact	oewn-04258901-n:noun.artifact:snowboard	snowboard	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	37	sports ball	sports	instances_2017	oewn	2025	sports ball	true	false	0					noun.artifact			false	no_oewn_noun_synset	no_oewn_noun_synset
COCO	38	kite	sports	instances_2017	oewn	2025	kite	false	true	4	oewn-03626682-n	noun.artifact	oewn-13403644-n|oewn-13403479-n|oewn-03626682-n|oewn-01611073-n	oewn-13403644-n:noun.possession:kite|oewn-13403479-n:noun.possession:kite|oewn-03626682-n:noun.artifact:kite|oewn-01611073-n:noun.animal:kite	noun.artifact	oewn-03626682-n:noun.artifact:kite	kite	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	39	baseball bat	sports	instances_2017	oewn	2025	baseball bat	true	true	1	oewn-02802334-n	noun.artifact	oewn-02802334-n	oewn-02802334-n:noun.artifact:baseball bat;lumber	noun.artifact	oewn-02802334-n:noun.artifact:baseball bat;lumber	baseball bat|lumber	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	40	baseball glove	sports	instances_2017	oewn	2025	baseball glove	true	true	1	oewn-02803372-n	noun.artifact	oewn-02803372-n	oewn-02803372-n:noun.artifact:baseball glove;glove;baseball mitt;mitt	noun.artifact	oewn-02803372-n:noun.artifact:baseball glove;glove;baseball mitt;mitt	baseball glove|glove|baseball mitt|mitt	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	41	skateboard	sports	instances_2017	oewn	2025	skateboard	false	true	1	oewn-04233049-n	noun.artifact	oewn-04233049-n	oewn-04233049-n:noun.artifact:skateboard	noun.artifact	oewn-04233049-n:noun.artifact:skateboard	skateboard	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	42	surfboard	sports	instances_2017	oewn	2025	surfboard	false	true	1	oewn-04370646-n	noun.artifact	oewn-04370646-n	oewn-04370646-n:noun.artifact:surfboard	noun.artifact	oewn-04370646-n:noun.artifact:surfboard	surfboard	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	43	tennis racket	sports	instances_2017	oewn	2025	tennis racket	true	true	1	oewn-04416941-n	noun.artifact	oewn-04416941-n	oewn-04416941-n:noun.artifact:tennis racket;tennis racquet	noun.artifact	oewn-04416941-n:noun.artifact:tennis racket;tennis racquet	tennis racket|tennis racquet	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	44	bottle	kitchen	instances_2017	oewn	2025	bottle	false	true	3			oewn-02879899-n|oewn-13787536-n|oewn-02880508-n	oewn-02879899-n:noun.artifact:bottle|oewn-13787536-n:noun.quantity:bottle;bottleful|oewn-02880508-n:noun.artifact:bottle;feeding bottle;nursing bottle	noun.artifact	oewn-02879899-n:noun.artifact:bottle|oewn-02880508-n:noun.artifact:bottle;feeding bottle;nursing bottle		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	46	wine glass	kitchen	instances_2017	oewn	2025	wine glass	true	false	0					noun.artifact			false	no_oewn_noun_synset	no_oewn_noun_synset
COCO	47	cup	kitchen	instances_2017	oewn	2025	cup	false	true	8			oewn-03152175-n|oewn-13788873-n|oewn-13927671-n|oewn-13640449-n|oewn-12288358-n|oewn-07947104-n|oewn-03152796-n|oewn-03152567-n	oewn-03152175-n:noun.artifact:cup|oewn-13788873-n:noun.quantity:cup;cupful|oewn-13927671-n:noun.shape:cup|oewn-13640449-n:noun.quantity:cup|oewn-12288358-n:noun.plant:cup|oewn-07947104-n:noun.food:cup|oewn-03152796-n:noun.artifact:cup|oewn-03152567-n:noun.artifact:cup;loving cup	noun.artifact	oewn-03152175-n:noun.artifact:cup|oewn-03152796-n:noun.artifact:cup|oewn-03152567-n:noun.artifact:cup;loving cup		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	48	fork	kitchen	instances_2017	oewn	2025	fork	false	true	5			oewn-03388794-n|oewn-00389200-n|oewn-13937280-n|oewn-03389013-n|oewn-05605191-n	oewn-03388794-n:noun.artifact:fork|oewn-00389200-n:noun.act:branching;ramification;fork;forking|oewn-13937280-n:noun.shape:fork;crotch|oewn-03389013-n:noun.artifact:fork|oewn-05605191-n:noun.body:crotch;fork	noun.artifact	oewn-03388794-n:noun.artifact:fork|oewn-03389013-n:noun.artifact:fork		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	49	knife	kitchen	instances_2017	oewn	2025	knife	false	true	3			oewn-03628765-n|oewn-03629343-n|oewn-13941420-n	oewn-03628765-n:noun.artifact:knife|oewn-03629343-n:noun.artifact:knife|oewn-13941420-n:noun.shape:tongue;knife	noun.artifact	oewn-03628765-n:noun.artifact:knife|oewn-03629343-n:noun.artifact:knife		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	50	spoon	kitchen	instances_2017	oewn	2025	spoon	false	true	3			oewn-04291140-n|oewn-13792309-n|oewn-04291479-n	oewn-04291140-n:noun.artifact:spoon|oewn-13792309-n:noun.quantity:spoon;spoonful|oewn-04291479-n:noun.artifact:spoon	noun.artifact	oewn-04291140-n:noun.artifact:spoon|oewn-04291479-n:noun.artifact:spoon		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	51	bowl	kitchen	instances_2017	oewn	2025	bowl	false	true	9			oewn-02884435-n|oewn-13916387-n|oewn-02884182-n|oewn-13787671-n|oewn-04303019-n|oewn-02885542-n|oewn-02884787-n|oewn-02884638-n|oewn-00105229-n	oewn-02884435-n:noun.artifact:bowl|oewn-13916387-n:noun.shape:bowl;trough|oewn-02884182-n:noun.artifact:bowl|oewn-13787671-n:noun.quantity:bowl;bowlful|oewn-04303019-n:noun.artifact:stadium;bowl;arena;sports stadium|oewn-02885542-n:noun.artifact:bowling ball;bowl|oewn-02884787-n:noun.artifact:bowl|oewn-02884638-n:noun.artifact:bowl;pipe bowl|oewn-00105229-n:noun.act:roll;bowl	noun.artifact	oewn-02884435-n:noun.artifact:bowl|oewn-02884182-n:noun.artifact:bowl|oewn-04303019-n:noun.artifact:stadium;bowl;arena;sports stadium|oewn-02885542-n:noun.artifact:bowling ball;bowl|oewn-02884787-n:noun.artifact:bowl|oewn-02884638-n:noun.artifact:bowl;pipe bowl		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	52	banana	food	instances_2017	oewn	2025	banana	false	true	2	oewn-07769568-n	noun.food	oewn-12372804-n|oewn-07769568-n	oewn-12372804-n:noun.plant:banana;banana tree|oewn-07769568-n:noun.food:banana	noun.food	oewn-07769568-n:noun.food:banana	banana	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	53	apple	food	instances_2017	oewn	2025	apple	false	true	2	oewn-07755101-n	noun.food	oewn-07755101-n|oewn-12654755-n	oewn-07755101-n:noun.food:apple|oewn-12654755-n:noun.plant:apple;orchard apple tree;Malus pumila	noun.food	oewn-07755101-n:noun.food:apple	apple	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	54	sandwich	food	instances_2017	oewn	2025	sandwich	false	true	1	oewn-07711710-n	noun.food	oewn-07711710-n	oewn-07711710-n:noun.food:sandwich	noun.food	oewn-07711710-n:noun.food:sandwich	sandwich	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	55	orange	food	instances_2017	oewn	2025	orange	false	true	4	oewn-07763583-n	noun.food	oewn-07763583-n|oewn-04972356-n|oewn-12729053-n|oewn-15015777-n	oewn-07763583-n:noun.food:orange|oewn-04972356-n:noun.attribute:orange;orangeness|oewn-12729053-n:noun.plant:orange;orange tree|oewn-15015777-n:noun.substance:orange	noun.food	oewn-07763583-n:noun.food:orange	orange	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	56	broccoli	food	instances_2017	oewn	2025	broccoli	false	true	2	oewn-07730735-n	noun.food	oewn-11897272-n|oewn-07730735-n	oewn-11897272-n:noun.plant:broccoli;Brassica oleracea italica|oewn-07730735-n:noun.food:broccoli	noun.food	oewn-07730735-n:noun.food:broccoli	broccoli	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	57	carrot	food	instances_2017	oewn	2025	carrot	false	true	4	oewn-07746183-n	noun.food	oewn-12958438-n|oewn-12958148-n|oewn-07746183-n|oewn-01222212-n	oewn-12958438-n:noun.plant:carrot|oewn-12958148-n:noun.plant:carrot;cultivated carrot;Daucus carota sativa|oewn-07746183-n:noun.food:carrot|oewn-01222212-n:noun.act:carrot	noun.food	oewn-07746183-n:noun.food:carrot	carrot	false	selected_by_coco_supercategory_oewn_lexfile	selected_by_coco_supercategory_oewn_lexfile
COCO	58	hot dog	food	instances_2017	oewn	2025	hot dog	true	true	3			oewn-10207329-n|oewn-07713282-n|oewn-07692347-n	oewn-10207329-n:noun.person:hotdog;hot dog|oewn-07713282-n:noun.food:hotdog;hot dog;red hot|oewn-07692347-n:noun.food:frank;frankfurter;hotdog;hot dog;dog;wiener;wienerwurst;weenie	noun.food	oewn-07713282-n:noun.food:hotdog;hot dog;red hot|oewn-07692347-n:noun.food:frank;frankfurter;hotdog;hot dog;dog;wiener;wienerwurst;weenie		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	59	pizza	food	instances_2017	oewn	2025	pizza	false	true	1	oewn-07889783-n	noun.food	oewn-07889783-n	oewn-07889783-n:noun.food:pizza;pizza pie	noun.food	oewn-07889783-n:noun.food:pizza;pizza pie	pizza|pizza pie	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	60	donut	food	instances_2017	oewn	2025	donut	false	true	1	oewn-07654678-n	noun.food	oewn-07654678-n	oewn-07654678-n:noun.food:doughnut;donut;sinker	noun.food	oewn-07654678-n:noun.food:doughnut;donut;sinker	doughnut|donut|sinker	false	single_oewn_noun_synset	single_oewn_noun_synset
COCO	61	cake	food	instances_2017	oewn	2025	cake	false	true	3			oewn-02940853-n|oewn-07679644-n|oewn-07644479-n	oewn-02940853-n:noun.artifact:cake;bar|oewn-07679644-n:noun.food:patty;cake|oewn-07644479-n:noun.food:cake	noun.food	oewn-07679644-n:noun.food:patty;cake|oewn-07644479-n:noun.food:cake		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
COCO	62	chair	furniture	instances_2017	oewn	2025	chair	false	true	5			oewn-03005231-n|oewn-00599171-n|oewn-10488547-n|oewn-03275941-n|oewn-03005700-n	oewn-03005231-n:noun.artifact:chair|oewn-00599171-n:noun.act:professorship;chair|oewn-10488547-n:noun.person:president;chair;chairperson|oewn-03275941-n:noun.artifact:electric chair;chair;death chair;hot seat|oewn-03005700-n:noun.artifact:chair	noun.artifact	oewn-03005231-n:noun.artifact:chair|oewn-03275941-n:noun.artifact:electric chair;chair;death chair;hot seat|oewn-03005700-n:noun.artifact:chair		false	ambiguous_after_coco_supercategory_oewn_lexfile	ambiguous_after_coco_supercategory_oewn_lexfile
