selected_oewn_synset	selected_oewn_lexfile	canonical_surface	canonical_label_key	canonical_selection_tag	canonical_candidate_lemmas	canonical_candidate_lemma_counts	google_ngram_candidate_surfaces	google_ngram_candidate_mean_frequencies	source_exact_candidate_lemmas	source_labels	source_label_keys	source_datasets	selected_queries	selected_lookup_cases	synset_lemmas	parent_oewn_synsets	parent_oewn_lexfiles	parent_lemmas	parent_selection_tags	row_count	decision_basis
oewn-00716926-n	noun.act	sewing	sewing	selected_by_google_ngram_frequency_unique_max	sewing|stitching	sewing:-1|stitching:-1	sewing|stitching	sewing:4.39876486336e-06|stitching:1.1990660065e-06	sewing|stitching	sewing|stitching	sewing|stitching	visual_genome	sewing|stitching	exact	sewing|stitching	oewn-00716196-n	oewn-00716196-n:noun.act	oewn-00716196-n:handicraft	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00797381-n	noun.act	project	project	selected_by_google_ngram_frequency_unique_max	project|task	project:-1|task:-1	project|task	project:0.000174512565199|task:8.29244122584e-05	project|task	project|projects|task|tasks	project|projects|task|tasks	visual_genome	project|task	exact|morphy	undertaking|project|task|labor|labour	oewn-00576778-n	oewn-00576778-n:noun.act	oewn-00576778-n:work	selected_all_immediate_oewn_hypernyms	4	selected_by_google_ngram_frequency_unique_max
oewn-00814187-n	noun.act	hold	hold	selected_by_google_ngram_frequency_unique_max	clasp|clutch|grip|hold	clasp:-1|clutch:-1|grip:-1|hold:-1	clasp|clutch|grip|hold	clasp:1.5382128141e-06|clutch:3.11188547754e-06|grip:1.34824648493e-05|hold:0.000105331132225	clutch|grip|hold	clasps|clutch|grip|grips|hold	clasps|clutch|grip|grips|hold	visual_genome	clasp|clutch|grip|hold	morphy|exact	clasp|clench|clutch|clutches|grasp|grip|hold	oewn-00813935-n	oewn-00813935-n:noun.act	oewn-00813935-n:grasping;taking hold;seizing;prehension	selected_all_immediate_oewn_hypernyms	5	selected_by_google_ngram_frequency_unique_max
oewn-00839759-n	noun.act	consumption	consumption	selected_by_google_ngram_frequency_unique_max	consumption|intake	consumption:-1|intake:-1	consumption|intake	consumption:4.4990626386e-05|intake:1.39918351677e-05	consumption|intake	consumption|intake	consumption|intake	visual_genome	consumption|intake	exact	consumption|ingestion|intake|uptake	oewn-13461236-n	oewn-13461236-n:noun.process	oewn-13461236-n:bodily process;body process;bodily function;activity	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00840028-n	noun.act	eating	eating	selected_by_google_ngram_frequency_unique_max	eating|feeding	eating:-1|feeding:-1	eating|feeding	eating:3.63421297294e-05|feeding:1.97780544919e-05	eating|feeding	eating|feeding	eating|feeding	visual_genome	eating|feeding	exact	eating|feeding	oewn-00839759-n	oewn-00839759-n:noun.act	oewn-00839759-n:consumption;ingestion;intake;uptake	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00855630-n	noun.act	kissing	kissing	selected_by_google_ngram_frequency_unique_max	hugging|kissing|necking	hugging:-1|kissing:-1|necking:-1	hugging|kissing|necking	hugging:2.75627068811e-06|kissing:7.7997002109e-06|necking:2.18452190527e-07	hugging|kissing|necking	hugging|kissing|necking	hugging|kissing|necking	visual_genome	hugging|kissing|necking	exact	caressing|cuddling|fondling|hugging|kissing|necking|petting|smooching|snuggling	oewn-00855465-n	oewn-00855465-n:noun.act	oewn-00855465-n:foreplay;arousal;stimulation	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00905257-n	noun.act	photography	photography	selected_by_google_ngram_frequency_unique_max	photography|picture taking	photography:-1|picture taking:-1	photography|picture taking	photography:1.05604184934e-05|picture taking:3.61487948023e-08	photography|picture taking	photography|picture taking	photography|picture taking	visual_genome	photography|picture taking	exact	photography|picture taking	oewn-00902073-n	oewn-00902073-n:noun.act	oewn-00902073-n:pictorial representation;picturing	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-00911597-n	noun.act	casting	casting	selected_by_google_ngram_frequency_unique_max	molding|casting	molding:0|casting:-1	molding|casting	molding:2.50425713202e-06|casting:9.57318259557e-06	molding|casting	casting|molding|moldings	casting|molding|moldings	visual_genome	casting|molding	exact|morphy	molding|casting	oewn-00910607-n	oewn-00910607-n:noun.act	oewn-00910607-n:creating from raw materials	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-00998911-n	noun.act	measurement	measurement	selected_by_google_ngram_frequency_unique_max	measurement|measuring	measurement:-1|measuring:-1	measurement|measuring	measurement:4.00001620474e-05|measuring:2.18219938652e-05	measurement|measuring	measurement|measurements|measuring	measurement|measurements|measuring	visual_genome	measurement|measuring	exact|morphy	measurement|measuring|measure|mensuration	oewn-00408356-n	oewn-00408356-n:noun.act	oewn-00408356-n:activity	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-01099197-n	noun.act	market	market	selected_by_google_ngram_frequency_unique_max	market|marketplace	market:-1|marketplace:-1	market|marketplace	market:0.000195924998562|marketplace:7.56314278834e-06	market|marketplace	market|marketplace|markets	market|marketplace|markets	visual_genome	market|marketplace	exact|morphy	market|marketplace|market place	oewn-00408356-n	oewn-00408356-n:noun.act	oewn-00408356-n:activity	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-01178825-n	noun.act	fray	fray	selected_by_google_ngram_frequency_unique_max	fray|ruffle	fray:-1|ruffle:-1	fray|ruffle	fray:1.86891270416e-06|ruffle:4.08398662949e-07	fray|ruffle	fray|ruffle|ruffles	fray|ruffle|ruffles	visual_genome	fray|ruffle	exact|morphy	affray|disturbance|fray|ruffle	oewn-01173452-n	oewn-01173452-n:noun.act	oewn-01173452-n:fight;fighting;combat;scrap	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-01210099-n	noun.act	help	help	selected_by_google_ngram_frequency_unique_max	assist|help	assist:-1|help:-1	assist|help	assist:2.5934789229e-05|help:0.00028080656441	assist|help	assist|help	assist|help	visual_genome	assist|help	exact	aid|assist|assistance|help	oewn-00408356-n	oewn-00408356-n:noun.act	oewn-00408356-n:activity	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-01321958-n	noun.animal	sea creature	sea creature	selected_by_google_ngram_frequency_unique_max	sea animal|sea creature	sea animal:-1|sea creature:-1	sea animal|sea creature	sea animal:1.48734356588e-08|sea creature:7.0126255807e-08	sea animal|sea creature	sea animal|sea creature	sea animal|sea creature	visual_genome	sea animal|sea creature	exact	marine animal|marine creature|sea animal|sea creature	oewn-00015568-n	oewn-00015568-n:noun.Tops	oewn-00015568-n:animal;animate being;beast;brute;creature;fauna	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-01617566-n	noun.animal	bald eagle	bald eagle	selected_by_google_ngram_frequency_unique_max	bald eagle|American eagle	bald eagle:-1|American eagle:-1	bald eagle|american eagle	bald eagle:3.85939360945e-07|american eagle:1.48406562734e-07	bald eagle|American eagle	american eagle|bald eagle	american eagle|bald eagle	visual_genome	american eagle|bald eagle	exact	bald eagle|American eagle|Haliaeetus leucocephalus	oewn-01615935-n	oewn-01615935-n:noun.animal	oewn-01615935-n:eagle;bird of Jove	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-01701075-n	noun.animal	alligator	alligator	selected_by_google_ngram_frequency_unique_max	alligator|gator	alligator:-1|gator:-1	alligator|gator	alligator:1.11162251859e-06|gator:3.94938449665e-07	alligator|gator	alligator|gator	alligator|gator	lvis|visual_genome	alligator|gator	exact	alligator|gator	oewn-01699274-n	oewn-01699274-n:noun.animal	oewn-01699274-n:crocodilian reptile;crocodilian	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-01792381-n	noun.animal	poultry	poultry	selected_by_google_ngram_frequency_unique_max	fowl|poultry	fowl:-1|poultry:-1	fowl|poultry	fowl:1.68271739785e-06|poultry:5.79316249406e-06	fowl|poultry	fowl|fowls|poultry	fowl|fowls|poultry	visual_genome	fowl|poultry	exact|morphy	domestic fowl|fowl|poultry	oewn-01792027-n	oewn-01792027-n:noun.animal	oewn-01792027-n:gallinaceous bird;gallinacean	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-01794799-n	noun.animal	cock	cock	selected_by_google_ngram_frequency_unique_max	cock|rooster	cock:-1|rooster:-1	cock|rooster	cock:1.10698377779e-05|rooster:1.26601715893e-06	cock|rooster	cock|rooster	cock|rooster	lvis|visual_genome	cock|rooster	exact	cock|rooster	oewn-01794266-n	oewn-01794266-n:noun.animal	oewn-01794266-n:chicken;Gallus gallus	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-01885355-n	noun.animal	koala	koala	selected_by_google_ngram_frequency_unique_max	koala|koala bear	koala:-1|koala bear:-1	koala|koala bear	koala:2.43777070796e-07|koala bear:1.78184754526e-08	koala|koala bear	Koala|koala bear	koala|koala bear	openimages|visual_genome	koala|koala bear	exact	koala|koala bear|kangaroo bear|native bear|Phascolarctos cinereus	oewn-01883812-n	oewn-01883812-n:noun.animal	oewn-01883812-n:phalanger;opossum;possum	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-01890115-n	noun.animal	livestock	livestock	selected_by_google_ngram_frequency_unique_max	livestock|farm animal	livestock:-1|farm animal:-1	livestock|farm animal	livestock:1.05186091347e-05|farm animal:1.34298025556e-07	livestock|farm animal	farm animal|farm animals|livestock	farm animal|farm animals|livestock	visual_genome	farm animal|livestock	exact|morphy	livestock|stock|farm animal	oewn-01889397-n	oewn-01889397-n:noun.animal	oewn-01889397-n:placental;placental mammal;eutherian;eutherian mammal	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-02024449-n	noun.animal	seabird	seabird	selected_by_google_ngram_frequency_unique_max	seabird|sea bird	seabird:-1|sea bird:-1	seabird|sea bird	seabird:2.9018486517e-07|sea bird:3.24737708226e-08	seabird|sea bird	sea bird|sea birds|seabird|seabirds	sea bird|sea birds|seabird|seabirds	visual_genome|lvis	sea bird|seabird	exact|morphy	seabird|sea bird|seafowl	oewn-01847558-n	oewn-01847558-n:noun.animal	oewn-01847558-n:aquatic bird	selected_all_immediate_oewn_hypernyms	4	selected_by_google_ngram_frequency_unique_max
oewn-02043900-n	noun.animal	gull	gull	selected_by_google_ngram_frequency_unique_max	gull|seagull|sea gull	gull:-1|seagull:-1|sea gull:-1	gull|seagull|sea gull	gull:1.13087836324e-06|seagull:4.94414984947e-07|sea gull:4.41194322728e-08	gull|seagull|sea gull	gull|sea gull|sea gulls|seagull|seagulls	gull|sea gull|sea gulls|seagull|seagulls	lvis|visual_genome	gull|sea gull|seagull	exact|morphy	gull|seagull|sea gull	oewn-02043739-n	oewn-02043739-n:noun.animal	oewn-02043739-n:larid	selected_all_immediate_oewn_hypernyms	5	selected_by_google_ngram_frequency_unique_max
oewn-02084223-n	noun.animal	walrus	walrus	selected_by_google_ngram_frequency_unique_max	walrus|seahorse	walrus:-1|seahorse:0	walrus|seahorse	walrus:5.39196244634e-07|seahorse:1.48899937655e-07	walrus|seahorse	Seahorse|seahorses|walrus	seahorse|seahorses|walrus	openimages|visual_genome|lvis	seahorse|walrus	exact|morphy	walrus|seahorse|sea horse	oewn-02078579-n	oewn-02078579-n:noun.animal	oewn-02078579-n:pinniped mammal;pinniped;pinnatiped	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-02087384-n	noun.animal	doggy	doggy	selected_by_google_ngram_frequency_unique_max	doggie|doggy	doggie:-1|doggy:-1	doggie|doggy	doggie:3.61713803021e-07|doggy:3.70324530918e-07	doggie|doggy	doggie|doggy	doggie|doggy	visual_genome	doggie|doggy	exact	pooch|doggie|doggy|barker|bow-wow	oewn-02086723-n	oewn-02086723-n:noun.animal	oewn-02086723-n:dog;domestic dog;Canis familiaris	selected_all_immediate_oewn_hypernyms	2	selected_by_google_ngram_frequency_unique_max
oewn-02107175-n	noun.animal	sheepdog	sheepdog	selected_by_google_ngram_frequency_unique_max	shepherd dog|sheepdog|sheep dog	shepherd dog:-1|sheepdog:-1|sheep dog:-1	shepherd dog|sheepdog|sheep dog	shepherd dog:5.74535880272e-08|sheepdog:1.6374139476e-07|sheep dog:3.40570488299e-08	shepherd dog|sheepdog|sheep dog	sheep dog|sheepdog|shepherd dog	sheep dog|sheepdog|shepherd dog	visual_genome|lvis	sheep dog|sheepdog|shepherd dog	exact	shepherd dog|sheepdog|sheep dog	oewn-02106058-n	oewn-02106058-n:noun.animal	oewn-02106058-n:working dog	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-02111324-n	noun.animal	bulldog	bulldog	selected_by_google_ngram_frequency_unique_max	bulldog|English bulldog	bulldog:-1|English bulldog:-1	bulldog|english bulldog	bulldog:7.5196289673e-07|english bulldog:2.02934501628e-08	bulldog|English bulldog	bull dog|bulldog|english bulldog	bull dog|bulldog|english bulldog	visual_genome|lvis	bulldog|english bulldog	joined_variant|exact	bulldog|English bulldog	oewn-02106058-n	oewn-02106058-n:noun.animal	oewn-02106058-n:working dog	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
oewn-02113610-n	noun.animal	pug	pug	selected_by_google_ngram_frequency_unique_max	pug|pug-dog	pug:-1|pug-dog:-1	pug|pug-dog	pug:5.78432488659e-07|pug-dog:6.01488298578e-09	pug|pug-dog	pug|pug-dog|pugs	pug|pug-dog|pugs	visual_genome|lvis	pug|pug-dog	exact|morphy	pug|pug-dog	oewn-02086723-n	oewn-02086723-n:noun.animal	oewn-02086723-n:dog;domestic dog;Canis familiaris	selected_all_immediate_oewn_hypernyms	3	selected_by_google_ngram_frequency_unique_max
