dataset	category_index	label	label_key	source_version	source_url	source_class	is_mwe_candidate	mwe_candidate_status	selection_status	duplicate_existing_label_key	duplicate_existing_datasets	duplicate_existing_labels	duplicate_existing_selected_oewn_synsets	wordnet_source	wordnet_version	wordnet_lexicon_id	selected_lookup_case	selected_query	has_oewn_noun_synset	oewn_synset_count	selected_oewn_synset	selected_oewn_lexfile	all_oewn_synsets	all_oewn_lexfiles	synset_lemmas	canonical_surface	canonical_selection_tag	canonical_candidate_lemmas	canonical_candidate_lemma_counts	parent_oewn_synsets	parent_oewn_lexfiles	parent_lemmas	parent_selection_tag	selected_oewn_objectness_class	objectness_gate	manual_decision	manual_decision_note	sense_counts_available	wn30_available	wn30_selection_tag	wn30_lemma_counts	synset_selection_tag	decision_basis
objects365	10	Cup	cup	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	duplicate_existing_label_key	true	COCO	cup	oewn-03152175-n				duplicate_existing_label_key																										duplicate_existing_label_key
objects365	11	Street Lights	street lights	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	true	selected	selected	false				oewn	2025-plus	oewn:2025+	morphy	streetlight	true	1	oewn-04343024-n	noun.artifact	oewn-04343024-n	oewn-04343024-n:noun.artifact:streetlight;street lamp	streetlight|street lamp	streetlight	selected_single_label_or_lookup_matched_wordnet_lemma	streetlight	streetlight:2	oewn-03641539-n	oewn-03641539-n:noun.artifact	oewn-03641539-n:lamp	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
objects365	12	Cabinet/shelf	cabinet/shelf	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	unresolved	false				oewn	2025-plus	oewn:2025+	unresolved		false	0							not_applicable_no_selected_synset						not_applicable_no_selected_synset		not_applicable			false	true			unresolved_no_oewn_noun_synset	unresolved_no_oewn_noun_synset
objects365	13	Handbag/Satchel	handbag/satchel	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	unresolved	false				oewn	2025-plus	oewn:2025+	unresolved		false	0							not_applicable_no_selected_synset						not_applicable_no_selected_synset		not_applicable			false	true			unresolved_no_oewn_noun_synset	unresolved_no_oewn_noun_synset
objects365	14	Bracelet	bracelet	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	bracelet	true	2	oewn-02891211-n	noun.artifact	oewn-04563490-n|oewn-02891211-n	oewn-04563490-n:noun.artifact:watchband;watchstrap;wristband;watch bracelet;bracelet|oewn-02891211-n:noun.artifact:bracelet;bangle	bracelet|bangle	bracelet	selected_single_label_or_lookup_matched_wordnet_lemma	bracelet	bracelet:0	oewn-03602662-n	oewn-03602662-n:noun.artifact	oewn-03602662-n:jewelry;jewellery	selected_all_immediate_oewn_hypernyms	object_compatible	manual_override	select:oewn-02891211-n	user-approved ambiguous decision: bracelet/bangle artifact sense	false	true	wn30_all_zero	oewn-04563490-n:bracelet%1:06:01:::watchband.n.01:0|oewn-02891211-n:bracelet%1:06:00:::bracelet.n.02:0	manual_select	manual_select
objects365	15	Plate	plate	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	plate	true	15	oewn-03534081-n	noun.artifact	oewn-03534081-n|oewn-03966230-n|oewn-03966958-n|oewn-03965779-n|oewn-13790990-n|oewn-09418350-n|oewn-07673273-n|oewn-07595352-n|oewn-05588980-n|oewn-03967244-n|oewn-03967077-n|oewn-03966784-n|oewn-03966668-n|oewn-03965995-n|oewn-03181052-n	oewn-03534081-n:noun.artifact:home plate;home base;home;plate|oewn-03966230-n:noun.artifact:plate|oewn-03966958-n:noun.artifact:plate|oewn-03965779-n:noun.artifact:plate|oewn-13790990-n:noun.quantity:plate;plateful|oewn-09418350-n:noun.object:plate;crustal plate|oewn-07673273-n:noun.food:plate|oewn-07595352-n:noun.food:plate|oewn-05588980-n:noun.body:plate|oewn-03967244-n:noun.artifact:plate|oewn-03967077-n:noun.artifact:plate;photographic plate|oewn-03966784-n:noun.artifact:plate|oewn-03966668-n:noun.artifact:plate;collection plate|oewn-03965995-n:noun.artifact:plate;scale;shell|oewn-03181052-n:noun.artifact:denture;dental plate;plate	home plate|home base|home|plate	plate	selected_single_label_or_lookup_matched_wordnet_lemma	plate	plate:6	oewn-02801040-n	oewn-02801040-n:noun.artifact	oewn-02801040-n:base;bag	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-03534081-n:plate%1:06:04:::home_plate.n.01:6|oewn-03966230-n:plate%1:06:02:::plate.n.02:4|oewn-03966958-n:plate%1:06:06:::plate.n.03:3|oewn-03965779-n:plate%1:06:00:::plate.n.04:3|oewn-09418350-n:plate%1:17:00:::plate.n.06:0|oewn-07673273-n:plate%1:13:02:::plate.n.07:0|oewn-07595352-n:plate%1:13:01:::plate.n.08:0|oewn-05588980-n:plate%1:08:00:::plate.n.09:0|oewn-03967244-n:plate%1:06:08:::plate.n.10:0|oewn-03967077-n:plate%1:06:07:::plate.n.11:0|oewn-03966784-n:plate%1:06:05:::plate.n.12:0|oewn-03966668-n:plate%1:06:03:::plate.n.13:0|oewn-03965995-n:plate%1:06:01:::plate.n.14:0|oewn-03181052-n:plate%1:06:09:::denture.n.01:0	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate
objects365	16	Picture/Frame	picture/frame	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	unresolved	false				oewn	2025-plus	oewn:2025+	unresolved		false	0							not_applicable_no_selected_synset						not_applicable_no_selected_synset		not_applicable			false	true			unresolved_no_oewn_noun_synset	unresolved_no_oewn_noun_synset
objects365	17	Helmet	helmet	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	helmet	true	2	oewn-03518281-n	noun.artifact	oewn-03518520-n|oewn-03518281-n	oewn-03518520-n:noun.artifact:helmet|oewn-03518281-n:noun.artifact:helmet	helmet	helmet	selected_single_label_or_lookup_matched_wordnet_lemma	helmet	helmet:0	oewn-03507653-n	oewn-03507653-n:noun.artifact	oewn-03507653-n:headdress;headgear	selected_all_immediate_oewn_hypernyms	object_compatible	manual_override	select:oewn-03518281-n	user-approved ambiguous decision: protective helmet artifact sense	false	true	wn30_all_zero	oewn-03518520-n:helmet%1:06:01:::helmet.n.01:0|oewn-03518281-n:helmet%1:06:00:::helmet.n.02:0	manual_select	manual_select
objects365	18	Book	book	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	duplicate_existing_label_key	true	COCO	book	oewn-02873453-n				duplicate_existing_label_key																										duplicate_existing_label_key
objects365	19	Gloves	gloves	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	morphy	glove	true	3	oewn-02803372-n	noun.artifact	oewn-02803372-n|oewn-03446036-n|oewn-02888703-n	oewn-02803372-n:noun.artifact:baseball glove;glove;baseball mitt;mitt|oewn-03446036-n:noun.artifact:glove|oewn-02888703-n:noun.artifact:boxing glove;glove	baseball glove|glove|baseball mitt|mitt	glove	selected_single_label_or_lookup_matched_wordnet_lemma	glove	glove:6	oewn-02803056-n	oewn-02803056-n:noun.artifact	oewn-02803056-n:baseball equipment	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-02803372-n:glove%1:06:01:::baseball_glove.n.01:6|oewn-03446036-n:glove%1:06:00:::glove.n.02:0|oewn-02888703-n:glove%1:06:02:::boxing_glove.n.01:0	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate
objects365	20	Storage box	storage box	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	true	unresolved	unresolved	false				oewn	2025-plus	oewn:2025+	unresolved		false	0							not_applicable_no_selected_synset						not_applicable_no_selected_synset		not_applicable			false	true			unresolved_no_oewn_noun_synset	unresolved_no_oewn_noun_synset
objects365	21	Boat	boat	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	duplicate_existing_label_key	true	COCO	boat	oewn-02861626-n				duplicate_existing_label_key																										duplicate_existing_label_key
objects365	22	Leather Shoes	leather shoes	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	true	unresolved	unresolved	false				oewn	2025-plus	oewn:2025+	unresolved		false	0							not_applicable_no_selected_synset						not_applicable_no_selected_synset		not_applicable			false	true			unresolved_no_oewn_noun_synset	unresolved_no_oewn_noun_synset
objects365	23	Flower	flower	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	flower	true	3	oewn-11690372-n	noun.plant	oewn-11690372-n|oewn-11689786-n|oewn-15320288-n	oewn-11690372-n:noun.plant:flower|oewn-11689786-n:noun.plant:flower;bloom;blossom|oewn-15320288-n:noun.time:flower;prime;peak;heyday;bloom;blossom;efflorescence;flush	flower	flower	selected_single_label_or_lookup_matched_wordnet_lemma	flower	flower:31	oewn-11685823-n	oewn-11685823-n:noun.plant	oewn-11685823-n:angiosperm;flowering plant	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-11690372-n:flower%1:20:00:::flower.n.01:31|oewn-11689786-n:flower%1:20:02:::flower.n.02:8	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate
objects365	24	Bench	bench	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	duplicate_existing_label_key	true	COCO	bench	oewn-02832068-n				duplicate_existing_label_key																										duplicate_existing_label_key
objects365	25	Potted Plant	potted plant	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	true	duplicate_existing_label_key	duplicate_existing_label_key	true	COCO	potted plant					duplicate_existing_label_key																										duplicate_existing_label_key
objects365	26	Bowl/Basin	bowl/basin	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	unresolved	false				oewn	2025-plus	oewn:2025+	unresolved		false	0							not_applicable_no_selected_synset						not_applicable_no_selected_synset		not_applicable			false	true			unresolved_no_oewn_noun_synset	unresolved_no_oewn_noun_synset
objects365	27	Flag	flag	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	flag	true	7	oewn-03359749-n	noun.artifact	oewn-03359749-n|oewn-06505149-n|oewn-12432427-n|oewn-06888144-n|oewn-03947170-n|oewn-03360185-n|oewn-02161498-n	oewn-03359749-n:noun.artifact:flag|oewn-06505149-n:noun.communication:masthead;flag|oewn-12432427-n:noun.plant:iris;flag;fleur-de-lis;sword lily|oewn-06888144-n:noun.communication:flag;signal flag|oewn-03947170-n:noun.artifact:pin;flag|oewn-03360185-n:noun.artifact:flag;flagstone|oewn-02161498-n:noun.animal:flag	flag	flag	selected_single_label_or_lookup_matched_wordnet_lemma	flag	flag:31	oewn-03287502-n	oewn-03287502-n:noun.artifact	oewn-03287502-n:emblem	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-03359749-n:flag%1:06:00:::flag.n.01:31|oewn-06505149-n:flag%1:10:01:::masthead.n.01:3|oewn-12432427-n:flag%1:20:00:::iris.n.01:1;fleur--de--lis%1:20:00::=wn30_missing|oewn-06888144-n:flag%1:10:00:::flag.n.04:0|oewn-03947170-n:flag%1:06:02:::pin.n.08:0|oewn-03360185-n:flag%1:06:01:::flag.n.06:0|oewn-02161498-n:flag%1:05:00:::flag.n.07:0	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate
objects365	28	Pillow	pillow	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	pillow	true	1	oewn-03944520-n	noun.artifact	oewn-03944520-n	oewn-03944520-n:noun.artifact:pillow	pillow	pillow	selected_single_label_or_lookup_matched_wordnet_lemma	pillow	pillow:8	oewn-03156166-n	oewn-03156166-n:noun.artifact	oewn-03156166-n:cushion	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
objects365	29	Boots	boots	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	morphy	boot	true	7	oewn-02876113-n	noun.artifact	oewn-02876113-n|oewn-03701391-n|oewn-07543858-n|oewn-02876762-n|oewn-02876605-n|oewn-00423264-n|oewn-00137149-n	oewn-02876113-n:noun.artifact:boot|oewn-03701391-n:noun.artifact:luggage compartment;automobile trunk;trunk;boot|oewn-07543858-n:noun.feeling:bang;boot;charge;rush;flush;thrill;kick|oewn-02876762-n:noun.artifact:boot|oewn-02876605-n:noun.artifact:boot;the boot;iron boot;iron heel|oewn-00423264-n:noun.act:boot|oewn-00137149-n:noun.act:kick;boot;kicking	boot	boot	selected_single_label_or_lookup_matched_wordnet_lemma	boot	boot:13	oewn-03385713-n	oewn-03385713-n:noun.artifact	oewn-03385713-n:footwear;footgear	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true	wn30_unique_max	oewn-02876113-n:boot%1:06:00:::boot.n.01:13|oewn-03701391-n:boot%1:06:01:::boot.n.02:1|oewn-02876762-n:boot%1:06:03:::boot.n.04:0|oewn-02876605-n:boot%1:06:02:::boot.n.05:0	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate	selected_by_object_or_conditional_wn30_lemma_count_before_objectness_gate
objects365	30	Vase	vase	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	duplicate_existing_label_key	true	COCO	vase	oewn-04529463-n				duplicate_existing_label_key																										duplicate_existing_label_key
objects365	31	Microphone	microphone	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	microphone	true	1	oewn-03765483-n	noun.artifact	oewn-03765483-n	oewn-03765483-n:noun.artifact:microphone;mike;mic	microphone|mike|mic	microphone	selected_single_label_or_lookup_matched_wordnet_lemma	microphone	microphone:4	oewn-03279472-n	oewn-03279472-n:noun.artifact	oewn-03279472-n:electro-acoustic transducer	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
objects365	32	Necklace	necklace	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	necklace	true	1	oewn-03820446-n	noun.artifact	oewn-03820446-n	oewn-03820446-n:noun.artifact:necklace	necklace	necklace	selected_single_label_or_lookup_matched_wordnet_lemma	necklace	necklace:1	oewn-03602662-n	oewn-03602662-n:noun.artifact	oewn-03602662-n:jewelry;jewellery	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			single_oewn_noun_synset	single_oewn_noun_synset
objects365	33	Ring	ring	objects365_v2_mmdetection_cfd5d3a985b0	https://raw.githubusercontent.com/open-mmlab/mmdetection/cfd5d3a985b0249de009b67d04f37263e11cdf3d/mmdet/datasets/objects365.py	Objects365V2Dataset	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	ring	true	9	oewn-04099721-n	noun.artifact	oewn-04988907-n|oewn-13898031-n|oewn-03539152-n|oewn-09269789-n|oewn-08260983-n|oewn-07406463-n|oewn-04100053-n|oewn-04099721-n|oewn-02788214-n	oewn-04988907-n:noun.attribute:ring|oewn-13898031-n:noun.shape:ring;halo;annulus;doughnut;anchor ring|oewn-03539152-n:noun.artifact:hoop;ring|oewn-09269789-n:noun.object:closed chain;ring|oewn-08260983-n:noun.group:gang;pack;ring;mob|oewn-07406463-n:noun.event:ring;ringing;tintinnabulation|oewn-04100053-n:noun.artifact:ring|oewn-04099721-n:noun.artifact:ring;band|oewn-02788214-n:noun.artifact:band;ring	ring|band	ring	selected_single_label_or_lookup_matched_wordnet_lemma	ring	ring:0	oewn-03602662-n	oewn-03602662-n:noun.artifact	oewn-03602662-n:jewelry;jewellery	selected_all_immediate_oewn_hypernyms	object_compatible	manual_override	select:oewn-04099721-n	user-approved remaining ambiguous decision: ring artifact sense	false	true	wn30_tie	oewn-13898031-n:ring%1:25:00:::ring.n.02:2|oewn-03539152-n:ring%1:06:02:::hoop.n.02:2|oewn-09269789-n:ring%1:17:00:::closed_chain.n.01:0|oewn-08260983-n:ring%1:14:00:::gang.n.01:0|oewn-04100053-n:ring%1:06:03:::ring.n.07:0|oewn-04099721-n:ring%1:06:00:::ring.n.08:0|oewn-02788214-n:ring%1:06:01:::band.n.12:0	manual_select	manual_select
