dataset	category_id	label	label_key	source_version	source_url	source_class	lvis_name	lvis_synset	lvis_synonyms	lvis_def	lvis_frequency	lvis_image_count	lvis_instance_count	is_mwe_candidate	mwe_candidate_status	selection_status	duplicate_existing_label_key	duplicate_existing_datasets	duplicate_existing_labels	duplicate_existing_selected_oewn_synsets	wordnet_source	wordnet_version	wordnet_lexicon_id	selected_lookup_case	selected_query	has_oewn_noun_synset	oewn_synset_count	selected_oewn_synset	selected_oewn_lexfile	all_oewn_synsets	all_oewn_lexfiles	synset_lemmas	parent_oewn_synsets	parent_oewn_lexfiles	parent_lemmas	parent_selection_tag	selected_oewn_objectness_class	objectness_gate	manual_decision	manual_decision_note	sense_counts_available	wn30_available	wn30_selection_tag	wn30_lemma_counts	lvis_synset_matched_oewn_synsets	synset_selection_tag	decision_basis
lvis	11	antenna	antenna	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	antenna	antenna.n.01	antenna|aerial|transmitting_aerial	an electrical device that sends or receives radio or television signals	f	93	202	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	antenna	true	3	oewn-02718140-n	noun.artifact	oewn-02718140-n|oewn-04850501-n|oewn-02587546-n	oewn-02718140-n:noun.artifact:antenna;aerial;transmitting aerial|oewn-04850501-n:noun.attribute:antenna;feeler|oewn-02587546-n:noun.animal:antenna;feeler	antenna|aerial|transmitting aerial	oewn-03274312-n	oewn-03274312-n:noun.artifact	oewn-03274312-n:electrical device	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			oewn-02718140-n	selected_by_lvis_synset_metadata	selected_by_lvis_synset_metadata
lvis	12	apple	apple	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	apple	apple.n.01	apple	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	f	210	3116	false	not_mwe	duplicate_existing_label_key	true	COCO	apple	oewn-07755101-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	13	applesauce	applesauce	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	applesauce	applesauce.n.01	applesauce	puree of stewed apples usually sweetened and spiced	r	1	3	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	applesauce	true	2	oewn-07841826-n	noun.food	oewn-07841826-n|oewn-06624351-n	oewn-07841826-n:noun.food:applesauce;apple sauce|oewn-06624351-n:noun.communication:folderol;rubbish;tripe;trumpery;trash;wish-wash;applesauce;codswallop	applesauce|apple sauce	oewn-07572999-n	oewn-07572999-n:noun.food	oewn-07572999-n:dish	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			oewn-07841826-n	selected_by_lvis_synset_metadata	selected_by_lvis_synset_metadata
lvis	14	apricot	apricot	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	apricot	apricot.n.02	apricot	downy yellow to rosy-colored fruit resembling a small peach	r	0	0	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	apricot	true	3	oewn-07766848-n	noun.food	oewn-12661368-n|oewn-07766848-n|oewn-04978942-n	oewn-12661368-n:noun.plant:apricot;apricot tree|oewn-07766848-n:noun.food:apricot|oewn-04978942-n:noun.attribute:yellowish pink;apricot;peach;salmon pink	apricot	oewn-07721676-n	oewn-07721676-n:noun.food	oewn-07721676-n:edible fruit	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			oewn-07766848-n	selected_by_lvis_synset_metadata	selected_by_lvis_synset_metadata
lvis	15	apron	apron	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	apron	apron.n.01	apron	a garment of cloth that is tied about the waist and worn to protect clothing	f	98	161	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	apron	true	4	oewn-02733935-n	noun.artifact	oewn-02733935-n|oewn-08513344-n|oewn-04019738-n|oewn-02734128-n	oewn-02733935-n:noun.artifact:apron|oewn-08513344-n:noun.location:apron|oewn-04019738-n:noun.artifact:proscenium;apron;forestage|oewn-02734128-n:noun.artifact:apron	apron	oewn-04021598-n	oewn-04021598-n:noun.artifact	oewn-04021598-n:protective garment	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			oewn-02733935-n	selected_by_lvis_synset_metadata	selected_by_lvis_synset_metadata
lvis	16	aquarium	aquarium	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	aquarium	aquarium.n.01	aquarium|fish_tank	a tank/pool/bowl filled with water for keeping live fish and underwater animals	c	10	10	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	aquarium	true	1	oewn-02735077-n	noun.artifact	oewn-02735077-n	oewn-02735077-n:noun.artifact:aquarium;fish tank;marine museum	aquarium|fish tank|marine museum	oewn-04546498-n|oewn-04395830-n	oewn-04546498-n:noun.artifact|oewn-04395830-n:noun.artifact	oewn-04546498-n:vivarium|oewn-04395830-n:tank;storage tank	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	17	arctic (type of shoe)	arctic (type of shoe)	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	arctic_(type_of_shoe)	arctic.n.02	arctic_(type_of_shoe)|galosh|golosh|rubber_(type_of_shoe)|gumshoe	a waterproof overshoe that protects shoes from water or snow	r	0	0	true	unresolved	unresolved	false				oewn	2025-plus	oewn:2025+	unresolved		false	0									not_applicable_no_selected_synset		not_applicable			false	true				unresolved_no_oewn_noun_synset	unresolved_no_oewn_noun_synset
lvis	18	armband	armband	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	armband	armband.n.02	armband	a band worn around the upper arm	c	8	15	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	armband	true	2	oewn-02741454-n	noun.artifact	oewn-07277610-n|oewn-02741454-n	oewn-07277610-n:noun.communication:armband|oewn-02741454-n:noun.artifact:armband	armband	oewn-02787241-n	oewn-02787241-n:noun.artifact	oewn-02787241-n:band	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			oewn-02741454-n	selected_by_lvis_synset_metadata	selected_by_lvis_synset_metadata
lvis	19	armchair	armchair	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	armchair	armchair.n.01	armchair	chair with a support on each side for arms	f	111	207	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	armchair	true	1	oewn-02741540-n	noun.artifact	oewn-02741540-n	oewn-02741540-n:noun.artifact:armchair	armchair	oewn-03005231-n	oewn-03005231-n:noun.artifact	oewn-03005231-n:chair	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	20	armoire	armoire	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	armoire	armoire.n.01	armoire	a large wardrobe or cabinet	r	1	1	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	armoire	true	1	oewn-02742555-n	noun.artifact	oewn-02742555-n	oewn-02742555-n:noun.artifact:armoire	armoire	oewn-04557470-n	oewn-04557470-n:noun.artifact	oewn-04557470-n:wardrobe;closet;press	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	21	armor	armor	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	armor	armor.n.01	armor|armour	protective covering made of metal and used in combat	r	2	5	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	armor	true	3	oewn-02742673-n	noun.artifact	oewn-02742673-n|oewn-08214682-n|oewn-01905391-n	oewn-02742673-n:noun.artifact:armor;armour|oewn-08214682-n:noun.group:armor;armour|oewn-01905391-n:noun.animal:armor;armour	armor|armour	oewn-04020673-n	oewn-04020673-n:noun.artifact	oewn-04020673-n:protective covering;protective cover;protection	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			oewn-02742673-n	selected_by_lvis_synset_metadata	selected_by_lvis_synset_metadata
lvis	22	artichoke	artichoke	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	artichoke	artichoke.n.02	artichoke	a thistlelike flower head with edible fleshy leaves and heart	c	3	32	false	not_mwe	duplicate_existing_label_key	true	openimages	Artichoke	oewn-07734492-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	23	trash can	trash can	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	trash_can	ashcan.n.01	trash_can|garbage_can|wastebin|dustbin|trash_barrel|trash_bin	a bin that holds rubbish until it is collected	f	389	548	true	selected	selected	false				oewn	2025-plus	oewn:2025+	exact	trash can	true	1	oewn-02750182-n	noun.artifact	oewn-02750182-n	oewn-02750182-n:noun.artifact:ashcan;trash can;garbage can;wastebin;ash bin;ash-bin;ashbin;dustbin;trash barrel;trash bin	ashcan|trash can|garbage can|wastebin|ash bin|ash-bin|ashbin|dustbin|trash barrel|trash bin	oewn-02843139-n	oewn-02843139-n:noun.artifact	oewn-02843139-n:bin	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	24	ashtray	ashtray	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	ashtray	ashtray.n.01	ashtray	a receptacle for the ash from smokers' cigars or cigarettes	c	30	51	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	ashtray	true	1	oewn-02750807-n	noun.artifact	oewn-02750807-n	oewn-02750807-n:noun.artifact:ashtray	ashtray	oewn-04068016-n	oewn-04068016-n:noun.artifact	oewn-04068016-n:receptacle	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	25	asparagus	asparagus	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	asparagus	asparagus.n.02	asparagus	edible young shoots of the asparagus plant	c	15	150	false	not_mwe	duplicate_existing_label_key	true	objects365	Asparagus	oewn-07734958-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	26	atomizer	atomizer	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	atomizer	atomizer.n.01	atomizer|atomiser|spray|sprayer|nebulizer|nebuliser	a dispenser that turns a liquid (such as perfume) into a fine mist	c	9	11	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	atomizer	true	1	oewn-02757108-n	noun.artifact	oewn-02757108-n	oewn-02757108-n:noun.artifact:atomizer;atomiser;spray;sprayer;nebulizer;nebuliser	atomizer|atomiser|spray|sprayer|nebulizer|nebuliser	oewn-03215404-n	oewn-03215404-n:noun.artifact	oewn-03215404-n:dispenser	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	27	avocado	avocado	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	avocado	avocado.n.01	avocado	a pear-shaped fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed	f	24	152	false	not_mwe	duplicate_existing_label_key	true	objects365	Avocado	oewn-07780823-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	28	award	award	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	award	award.n.02	award|accolade	a tangible symbol signifying approval or distinction	c	13	51	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	award	true	3	oewn-06709228-n	noun.communication	oewn-00088483-n|oewn-06709228-n|oewn-13289169-n	oewn-00088483-n:noun.act:award;awarding|oewn-06709228-n:noun.communication:award;accolade;honor;honour;laurels|oewn-13289169-n:noun.possession:prize;award	award|accolade|honor|honour|laurels	oewn-06819327-n	oewn-06819327-n:noun.communication	oewn-06819327-n:symbol	selected_all_immediate_oewn_hypernyms	conditional	manual_override	select:oewn-06709228-n	user-approved LVIS ambiguous decision	false	true			oewn-06709228-n	manual_select	manual_select
lvis	29	awning	awning	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	awning	awning.n.01	awning	a canopy made of canvas to shelter people or things from rain or sun	f	273	888	false	not_mwe	duplicate_existing_label_key	true	objects365	Awning	oewn-02766906-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	30	ax	ax	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	ax	ax.n.01	ax|axe	an edge tool with a heavy bladed head mounted across a handle	r	2	5	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	ax	true	1	oewn-02767049-n	noun.artifact	oewn-02767049-n	oewn-02767049-n:noun.artifact:ax;axe	ax|axe	oewn-03269943-n	oewn-03269943-n:noun.artifact	oewn-03269943-n:edge tool	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	31	baboon	baboon	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	baboon	baboon.n.01	baboon	large terrestrial monkeys having doglike muzzles	r	0	0	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	baboon	true	1	oewn-02489041-n	noun.animal	oewn-02489041-n	oewn-02489041-n:noun.animal:baboon	baboon	oewn-02487104-n	oewn-02487104-n:noun.animal	oewn-02487104-n:Old World monkey;catarrhine	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	32	baby buggy	baby buggy	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	baby_buggy	baby_buggy.n.01	baby_buggy|baby_carriage|perambulator|pram|stroller	a small vehicle with four wheels in which a baby or child is pushed around	f	67	78	true	selected	selected	false				oewn	2025-plus	oewn:2025+	exact	baby buggy	true	1	oewn-02769539-n	noun.artifact	oewn-02769539-n	oewn-02769539-n:noun.artifact:baby buggy;baby carriage;carriage;perambulator;pram;stroller;go-cart;pushchair;pusher	baby buggy|baby carriage|carriage|perambulator|pram|stroller|go-cart|pushchair|pusher	oewn-04583497-n	oewn-04583497-n:noun.artifact	oewn-04583497-n:wheeled vehicle	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	33	basketball backboard	basketball backboard	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	basketball_backboard	backboard.n.01	basketball_backboard	a raised vertical board with basket attached; used to play basketball	c	7	7	true	selected	selected	false				oewn	2025-plus	oewn:2025+	exact	basketball backboard	true	1	oewn-02771231-n	noun.artifact	oewn-02771231-n	oewn-02771231-n:noun.artifact:backboard;basketball backboard	backboard|basketball backboard	oewn-03419072-n	oewn-03419072-n:noun.artifact	oewn-03419072-n:game equipment	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	34	backpack	backpack	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	backpack	backpack.n.01	backpack|knapsack|packsack|rucksack|haversack	a bag carried by a strap on your back or shoulder	f	397	947	false	not_mwe	duplicate_existing_label_key	true	COCO	backpack	oewn-02772753-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	35	handbag	handbag	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	handbag	bag.n.04	handbag|purse|pocketbook	a container used for carrying money and small personal items or accessories	f	367	713	false	not_mwe	duplicate_existing_label_key	true	COCO	handbag	oewn-02777157-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	36	suitcase	suitcase	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	suitcase	bag.n.06	suitcase|baggage|luggage	cases used to carry belongings when traveling	f	315	1791	false	not_mwe	duplicate_existing_label_key	true	COCO	suitcase	oewn-02776843-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	37	bagel	bagel	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bagel	bagel.n.01	bagel|beigel	glazed yeast-raised doughnut-shaped roll with hard crust	c	13	68	false	not_mwe	duplicate_existing_label_key	true	openimages	Bagel	oewn-07709470-n				duplicate_existing_label_key																							duplicate_existing_label_key
lvis	38	bagpipe	bagpipe	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bagpipe	bagpipe.n.01	bagpipe	a tubular wind instrument; the player blows air into a bag and squeezes it out	r	0	0	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	bagpipe	true	1	oewn-02778488-n	noun.artifact	oewn-02778488-n	oewn-02778488-n:noun.artifact:bagpipe	bagpipe	oewn-03951891-n	oewn-03951891-n:noun.artifact	oewn-03951891-n:pipe	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	39	baguet	baguet	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	baguet	baguet.n.01	baguet|baguette	narrow French stick loaf	r	0	0	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	baguet	true	1	oewn-07703126-n	noun.food	oewn-07703126-n	oewn-07703126-n:noun.food:baguet;baguette	baguet|baguette	oewn-07703214-n	oewn-07703214-n:noun.food	oewn-07703214-n:French bread	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true				single_oewn_noun_synset	single_oewn_noun_synset
lvis	40	bait	bait	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bait	bait.n.02	bait|lure	something used to lure fish or other animals into danger so they can be trapped or killed	r	0	0	false	not_mwe	selected	false				oewn	2025-plus	oewn:2025+	exact	bait	true	2	oewn-02779210-n	noun.artifact	oewn-05703197-n|oewn-02779210-n	oewn-05703197-n:noun.cognition:bait;come-on;hook;lure;sweetener|oewn-02779210-n:noun.artifact:bait;decoy;lure	bait|decoy|lure	oewn-03187746-n	oewn-03187746-n:noun.artifact	oewn-03187746-n:device	selected_all_immediate_oewn_hypernyms	object_compatible	pass			false	true			oewn-02779210-n	selected_by_lvis_synset_metadata	selected_by_lvis_synset_metadata
lvis	41	ball	ball	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	ball	ball.n.06	ball	a spherical object used as a plaything	f	51	107	false	not_mwe	duplicate_existing_label_key	true	openimages	Ball	oewn-02781674-n				duplicate_existing_label_key																							duplicate_existing_label_key
