dataset	category_id	label	label_key	source_version	source_url	source_class	lvis_name	lvis_synset	lvis_synonyms	lvis_def	lvis_frequency	lvis_image_count	lvis_instance_count
lvis	33	basketball backboard	basketball backboard	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	basketball_backboard	backboard.n.01	basketball_backboard	a raised vertical board with basket attached; used to play basketball	c	7	7
lvis	34	backpack	backpack	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	backpack	backpack.n.01	backpack|knapsack|packsack|rucksack|haversack	a bag carried by a strap on your back or shoulder	f	397	947
lvis	35	handbag	handbag	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	handbag	bag.n.04	handbag|purse|pocketbook	a container used for carrying money and small personal items or accessories	f	367	713
lvis	36	suitcase	suitcase	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	suitcase	bag.n.06	suitcase|baggage|luggage	cases used to carry belongings when traveling	f	315	1791
lvis	37	bagel	bagel	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bagel	bagel.n.01	bagel|beigel	glazed yeast-raised doughnut-shaped roll with hard crust	c	13	68
lvis	38	bagpipe	bagpipe	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bagpipe	bagpipe.n.01	bagpipe	a tubular wind instrument; the player blows air into a bag and squeezes it out	r	0	0
lvis	39	baguet	baguet	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	baguet	baguet.n.01	baguet|baguette	narrow French stick loaf	r	0	0
lvis	40	bait	bait	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bait	bait.n.02	bait|lure	something used to lure fish or other animals into danger so they can be trapped or killed	r	0	0
lvis	41	ball	ball	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	ball	ball.n.06	ball	a spherical object used as a plaything	f	51	107
lvis	42	ballet skirt	ballet skirt	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	ballet_skirt	ballet_skirt.n.01	ballet_skirt|tutu	very short skirt worn by ballerinas	r	0	0
lvis	43	balloon	balloon	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	balloon	balloon.n.01	balloon	large tough nonrigid bag filled with gas or heated air	f	31	272
lvis	44	bamboo	bamboo	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bamboo	bamboo.n.02	bamboo	woody tropical grass having hollow woody stems	c	12	57
lvis	45	banana	banana	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	banana	banana.n.02	banana	elongated crescent-shaped yellow fruit with soft sweet flesh	f	338	9156
lvis	46	Band Aid	band aid	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	Band_Aid	band_aid.n.01	Band_Aid	trade name for an adhesive bandage to cover small cuts or blisters	c	0	0
lvis	47	bandage	bandage	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bandage	bandage.n.01	bandage	a piece of soft material that covers and protects an injured part of the body	c	9	17
lvis	48	bandanna	bandanna	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bandanna	bandanna.n.01	bandanna|bandana	large and brightly colored handkerchief; often used as a neckerchief	f	24	49
lvis	49	banjo	banjo	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	banjo	banjo.n.01	banjo	a stringed instrument of the guitar family with a long neck and circular body	r	0	0
lvis	50	banner	banner	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	banner	banner.n.01	banner|streamer	long strip of cloth or paper used for decoration or advertising	f	269	1163
lvis	51	barbell	barbell	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	barbell	barbell.n.01	barbell	a bar to which heavy discs are attached at each end; used in weightlifting	r	1	1
lvis	52	barge	barge	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	barge	barge.n.01	barge	a flatbottom boat for carrying heavy loads (especially on canals)	r	0	0
lvis	53	barrel	barrel	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	barrel	barrel.n.02	barrel|cask	a cylindrical container that holds liquids	f	20	51
lvis	54	barrette	barrette	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	barrette	barrette.n.01	barrette	a pin for holding women's hair in place	c	9	12
lvis	55	barrow	barrow	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	barrow	barrow.n.03	barrow|garden_cart|lawn_cart|wheelbarrow	a cart for carrying small loads; has handles and one or more wheels	c	3	3
lvis	56	baseball base	baseball base	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	baseball_base	base.n.03	baseball_base	a place that the runner must touch before scoring	f	63	78
lvis	57	baseball	baseball	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	baseball	baseball.n.02	baseball	a ball used in playing baseball	f	142	201
lvis	58	baseball bat	baseball bat	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	baseball_bat	baseball_bat.n.01	baseball_bat	an implement used in baseball by the batter	f	342	522
lvis	59	baseball cap	baseball cap	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	baseball_cap	baseball_cap.n.01	baseball_cap|jockey_cap|golf_cap	a cap with a bill	f	350	1551
lvis	60	baseball glove	baseball glove	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	baseball_glove	baseball_glove.n.01	baseball_glove|baseball_mitt	the handwear used by fielders in playing baseball	f	311	477
lvis	61	basket	basket	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	basket	basket.n.01	basket|handbasket	a container that is usually woven and has handles	f	311	731
lvis	62	basketball	basketball	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	basketball	basketball.n.02	basketball	an inflated ball used in playing basketball	c	9	14
lvis	63	bass horn	bass horn	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bass_horn	bass_horn.n.01	bass_horn|sousaphone|tuba	the lowest brass wind instrument	r	1	3
lvis	64	bat (animal)	bat (animal)	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bat_(animal)	bat.n.01	bat_(animal)	nocturnal mouselike mammal with forelimbs modified to form membranous wings	c	1	2
lvis	65	bath mat	bath mat	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bath_mat	bath_mat.n.01	bath_mat	a heavy towel or mat to stand on while drying yourself after a bath	f	52	63
lvis	66	bath towel	bath towel	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bath_towel	bath_towel.n.01	bath_towel	a large towel; to dry yourself after a bath	f	80	274
lvis	67	bathrobe	bathrobe	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bathrobe	bathrobe.n.01	bathrobe	a loose-fitting robe of towelling; worn after a bath or swim	c	7	10
lvis	68	bathtub	bathtub	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bathtub	bathtub.n.01	bathtub|bathing_tub	a large open container that you fill with water and use to wash the body	f	157	170
lvis	69	batter (food)	batter (food)	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	batter_(food)	batter.n.02	batter_(food)	a liquid or semiliquid mixture, as of flour, eggs, and milk, used in cooking	r	1	2
lvis	70	battery	battery	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	battery	battery.n.02	battery	a portable device that produces electricity	c	9	19
lvis	71	beachball	beachball	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	beachball	beach_ball.n.01	beachball	large and light ball; for play at the seaside	r	3	7
lvis	72	bead	bead	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bead	bead.n.01	bead	a small ball with a hole through the middle used for ornamentation, jewellery, etc.	c	11	164
lvis	73	bean curd	bean curd	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bean_curd	bean_curd.n.01	bean_curd|tofu	cheeselike food made of curdled soybean milk	c	10	151
lvis	74	beanbag	beanbag	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	beanbag	beanbag.n.01	beanbag	a bag filled with dried beans or similar items; used in games or to sit on	c	8	16
lvis	75	beanie	beanie	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	beanie	beanie.n.01	beanie|beany	a small skullcap; formerly worn by schoolboys and college freshmen	f	92	298
lvis	76	bear	bear	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bear	bear.n.01	bear	large carnivorous or omnivorous mammals with shaggy coats and claws	f	130	223
lvis	77	bed	bed	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bed	bed.n.01	bed	a piece of furniture that provides a place to sleep	f	363	435
lvis	78	bedpan	bedpan	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bedpan	bedpan.n.01	bedpan	a shallow vessel used by a bedridden patient for defecation and urination	r	0	0
lvis	79	bedspread	bedspread	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bedspread	bedspread.n.01	bedspread|bedcover|bed_covering|counterpane|spread	decorative cover for a bed	f	17	19
lvis	80	cow	cow	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	cow	beef.n.01	cow	cattle/cow	f	266	1663
lvis	81	beef (food)	beef (food)	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	beef_(food)	beef.n.02	beef_(food)|boeuf_(food)	meat from an adult domestic bovine	f	26	293
lvis	82	beeper	beeper	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	beeper	beeper.n.01	beeper|pager	an device that beeps when the person carrying it is being paged	r	0	0
lvis	83	beer bottle	beer bottle	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	beer_bottle	beer_bottle.n.01	beer_bottle	a bottle that holds beer	f	66	215
lvis	84	beer can	beer can	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	beer_can	beer_can.n.01	beer_can	a can that holds beer	c	12	63
lvis	85	beetle	beetle	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	beetle	beetle.n.01	beetle	insect with hard wing covers	r	0	0
lvis	86	bell	bell	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bell	bell.n.01	bell	a hollow device made of metal that makes a ringing sound when struck	f	39	75
lvis	87	bell pepper	bell pepper	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bell_pepper	bell_pepper.n.02	bell_pepper|capsicum	large bell-shaped sweet pepper in green or red or yellow or orange or black varieties	f	54	799
lvis	88	belt	belt	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	belt	belt.n.02	belt	a band to tie or buckle around the body (usually at the waist)	f	368	676
lvis	89	belt buckle	belt buckle	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	belt_buckle	belt_buckle.n.01	belt_buckle	the buckle used to fasten a belt	f	53	83
lvis	90	bench	bench	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bench	bench.n.01	bench	a long seat for more than one person	f	404	807
lvis	91	beret	beret	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	beret	beret.n.01	beret	a cap with no brim or bill; made of soft cloth	c	1	2
lvis	92	bib	bib	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bib	bib.n.02	bib	a napkin tied under the chin of a child while eating	c	12	12
lvis	93	Bible	bible	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	Bible	bible.n.01	Bible	the sacred writings of the Christian religions	r	1	1
lvis	94	bicycle	bicycle	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bicycle	bicycle.n.01	bicycle|bike_(bicycle)	a wheeled vehicle that has two wheels and is moved by foot pedals	f	387	969
lvis	95	visor	visor	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	visor	bill.n.09	visor|vizor	a brim that projects to the front to shade the eyes	f	87	166
lvis	96	billboard	billboard	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	billboard	billboard.n.01	billboard	large outdoor signboard	f	37	270
lvis	97	binder	binder	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	binder	binder.n.03	binder|ring-binder	holds loose papers or magazines	c	21	47
lvis	98	binoculars	binoculars	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	binoculars	binoculars.n.01	binoculars|field_glasses|opera_glasses	an optical instrument designed for simultaneous use by both eyes	c	2	2
lvis	99	bird	bird	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	bird	bird.n.01	bird	animal characterized by feathers and wings	f	368	2011
lvis	100	birdfeeder	birdfeeder	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	birdfeeder	bird_feeder.n.01	birdfeeder	an outdoor device that supplies food for wild birds	c	4	8
lvis	101	birdbath	birdbath	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	birdbath	birdbath.n.01	birdbath	an ornamental basin (usually in a garden) for birds to bathe in	c	3	3
lvis	102	birdcage	birdcage	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	birdcage	birdcage.n.01	birdcage	a cage in which a bird can be kept	c	7	34
lvis	103	birdhouse	birdhouse	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	birdhouse	birdhouse.n.01	birdhouse	a shelter for birds	c	3	17
lvis	104	birthday cake	birthday cake	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	birthday_cake	birthday_cake.n.01	birthday_cake	decorated cake served at a birthday party	f	49	74
lvis	105	birthday card	birthday card	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	birthday_card	birthday_card.n.01	birthday_card	a card expressing a birthday greeting	r	0	0
lvis	106	pirate flag	pirate flag	lvis_v1_val	https://s3-us-west-2.amazonaws.com/dl.fbaipublicfiles.com/LVIS/lvis_v1_val.json.zip	LVISCategory	pirate_flag	black_flag.n.01	pirate_flag	a flag usually bearing a white skull and crossbones on a black background	r	1	7
