dataset	category_id	label	supercategory	source_version	wordnet_query	is_multiword	has_wordnet_noun_synset	wordnet_synset_count	wordnet_synset	wordnet_lexname	all_wordnet_synsets	all_wordnet_lexnames	target_wordnet_lexnames	matched_wordnet_lexnames	canonical	parent	parent_synset	synset_lemmas	candidate_for_object_mwe	synset_selection_tag	decision_basis
COCO	15	bench	outdoor	instances_2017	bench	false	true	7			bench.n.01|terrace.n.02|judiciary.n.01|workbench.n.01|bench.n.05|bench.n.06|bench.n.07	bench.n.01:noun.artifact|terrace.n.02:noun.object|judiciary.n.01:noun.group|workbench.n.01:noun.artifact|bench.n.05:noun.group|bench.n.06:noun.group|bench.n.07:noun.artifact	noun.artifact	bench.n.01:noun.artifact|workbench.n.01:noun.artifact|bench.n.07:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	16	bird	animal	instances_2017	bird	false	true	5	bird.n.01	noun.animal	bird.n.01|bird.n.02|dame.n.01|boo.n.01|shuttlecock.n.01	bird.n.01:noun.animal|bird.n.02:noun.food|dame.n.01:noun.person|boo.n.01:noun.communication|shuttlecock.n.01:noun.artifact	noun.animal	bird.n.01:noun.animal	bird	vertebrate	vertebrate.n.01	bird	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	17	cat	animal	instances_2017	cat	false	true	8			cat.n.01|guy.n.01|cat.n.03|kat.n.01|cat-o'-nine-tails.n.01|caterpillar.n.02|big_cat.n.01|computerized_tomography.n.01	cat.n.01:noun.animal|guy.n.01:noun.person|cat.n.03:noun.person|kat.n.01:noun.artifact|cat-o'-nine-tails.n.01:noun.artifact|caterpillar.n.02:noun.artifact|big_cat.n.01:noun.animal|computerized_tomography.n.01:noun.act	noun.animal	cat.n.01:noun.animal|big_cat.n.01:noun.animal					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	18	dog	animal	instances_2017	dog	false	true	7	dog.n.01	noun.animal	dog.n.01|frump.n.01|dog.n.03|cad.n.01|frank.n.02|pawl.n.01|andiron.n.01	dog.n.01:noun.animal|frump.n.01:noun.person|dog.n.03:noun.person|cad.n.01:noun.person|frank.n.02:noun.food|pawl.n.01:noun.artifact|andiron.n.01:noun.artifact	noun.animal	dog.n.01:noun.animal	dog	domestic_animal	domestic_animal.n.01	dog|domestic_dog|Canis_familiaris	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	19	horse	animal	instances_2017	horse	false	true	5	horse.n.01	noun.animal	horse.n.01|horse.n.02|cavalry.n.01|sawhorse.n.01|knight.n.02	horse.n.01:noun.animal|horse.n.02:noun.artifact|cavalry.n.01:noun.group|sawhorse.n.01:noun.artifact|knight.n.02:noun.artifact	noun.animal	horse.n.01:noun.animal	horse	equine	equine.n.01	horse|Equus_caballus	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	20	sheep	animal	instances_2017	sheep	false	true	3	sheep.n.01	noun.animal	sheep.n.01|sheep.n.02|sheep.n.03	sheep.n.01:noun.animal|sheep.n.02:noun.person|sheep.n.03:noun.person	noun.animal	sheep.n.01:noun.animal	sheep	bovid	bovid.n.01	sheep	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	21	cow	animal	instances_2017	cow	false	true	3			cow.n.01|cow.n.02|cow.n.03	cow.n.01:noun.animal|cow.n.02:noun.animal|cow.n.03:noun.person	noun.animal	cow.n.01:noun.animal|cow.n.02:noun.animal					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	22	elephant	animal	instances_2017	elephant	false	true	2	elephant.n.01	noun.animal	elephant.n.01|elephant.n.02	elephant.n.01:noun.animal|elephant.n.02:noun.communication	noun.animal	elephant.n.01:noun.animal	elephant	pachyderm	pachyderm.n.01	elephant	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	23	bear	animal	instances_2017	bear	false	true	2	bear.n.01	noun.animal	bear.n.01|bear.n.02	bear.n.01:noun.animal|bear.n.02:noun.person	noun.animal	bear.n.01:noun.animal	bear	carnivore	carnivore.n.01	bear	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	24	zebra	animal	instances_2017	zebra	false	true	1	zebra.n.01	noun.animal	zebra.n.01	zebra.n.01:noun.animal	noun.animal	zebra.n.01:noun.animal	zebra	equine	equine.n.01	zebra	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	25	giraffe	animal	instances_2017	giraffe	false	true	1	giraffe.n.01	noun.animal	giraffe.n.01	giraffe.n.01:noun.animal	noun.animal	giraffe.n.01:noun.animal	giraffe	ruminant	ruminant.n.01	giraffe|camelopard|Giraffa_camelopardalis	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	27	backpack	accessory	instances_2017	backpack	false	true	1	backpack.n.01	noun.artifact	backpack.n.01	backpack.n.01:noun.artifact	noun.artifact	backpack.n.01:noun.artifact	backpack	bag	bag.n.01	backpack|back_pack|knapsack|packsack|rucksack|haversack	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	28	umbrella	accessory	instances_2017	umbrella	false	true	3	umbrella.n.01	noun.artifact	umbrella.n.01|umbrella.n.02|umbrella.n.03	umbrella.n.01:noun.artifact|umbrella.n.02:noun.act|umbrella.n.03:noun.act	noun.artifact	umbrella.n.01:noun.artifact	umbrella	canopy	canopy.n.03	umbrella	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	31	handbag	accessory	instances_2017	handbag	false	true	1	bag.n.04	noun.artifact	bag.n.04	bag.n.04:noun.artifact	noun.artifact	bag.n.04:noun.artifact	bag	container	container.n.01	bag|handbag|pocketbook|purse	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	32	tie	accessory	instances_2017	tie	false	true	9			necktie.n.01|affiliation.n.01|tie.n.03|tie.n.04|link.n.02|draw.n.03|tie.n.07|tie.n.08|tie.n.09	necktie.n.01:noun.artifact|affiliation.n.01:noun.state|tie.n.03:noun.state|tie.n.04:noun.artifact|link.n.02:noun.artifact|draw.n.03:noun.event|tie.n.07:noun.communication|tie.n.08:noun.artifact|tie.n.09:noun.artifact	noun.artifact	necktie.n.01:noun.artifact|tie.n.04:noun.artifact|link.n.02:noun.artifact|tie.n.08:noun.artifact|tie.n.09:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	33	suitcase	accessory	instances_2017	suitcase	false	true	1	bag.n.06	noun.artifact	bag.n.06	bag.n.06:noun.artifact	noun.artifact	bag.n.06:noun.artifact	bag	baggage	baggage.n.01	bag|traveling_bag|travelling_bag|grip|suitcase	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	34	frisbee	sports	instances_2017	frisbee	false	true	1	frisbee.n.01	noun.artifact	frisbee.n.01	frisbee.n.01:noun.artifact	noun.artifact	frisbee.n.01:noun.artifact	Frisbee	plaything	plaything.n.01	Frisbee	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	35	skis	sports	instances_2017	skis	false	true	1	ski.n.01	noun.artifact	ski.n.01	ski.n.01:noun.artifact	noun.artifact	ski.n.01:noun.artifact	ski	runner	runner.n.09	ski	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	36	snowboard	sports	instances_2017	snowboard	false	true	1	snowboard.n.01	noun.artifact	snowboard.n.01	snowboard.n.01:noun.artifact	noun.artifact	snowboard.n.01:noun.artifact	snowboard	board	board.n.03	snowboard	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	37	sports ball	sports	instances_2017	sports_ball	true	false	0					noun.artifact						false	no_exact_wordnet_noun_synset	no_exact_wordnet_noun_synset
COCO	38	kite	sports	instances_2017	kite	false	true	4	kite.n.03	noun.artifact	kite.n.01|kite.n.02|kite.n.03|kite.n.04	kite.n.01:noun.possession|kite.n.02:noun.possession|kite.n.03:noun.artifact|kite.n.04:noun.animal	noun.artifact	kite.n.03:noun.artifact	kite	plaything	plaything.n.01	kite	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	39	baseball bat	sports	instances_2017	baseball_bat	true	true	1	baseball_bat.n.01	noun.artifact	baseball_bat.n.01	baseball_bat.n.01:noun.artifact	noun.artifact	baseball_bat.n.01:noun.artifact	baseball_bat	baseball_equipment	baseball_equipment.n.01	baseball_bat|lumber	true	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	40	baseball glove	sports	instances_2017	baseball_glove	true	true	1	baseball_glove.n.01	noun.artifact	baseball_glove.n.01	baseball_glove.n.01:noun.artifact	noun.artifact	baseball_glove.n.01:noun.artifact	baseball_glove	baseball_equipment	baseball_equipment.n.01	baseball_glove|glove|baseball_mitt|mitt	true	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	41	skateboard	sports	instances_2017	skateboard	false	true	1	skateboard.n.01	noun.artifact	skateboard.n.01	skateboard.n.01:noun.artifact	noun.artifact	skateboard.n.01:noun.artifact	skateboard	board	board.n.03	skateboard	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	42	surfboard	sports	instances_2017	surfboard	false	true	1	surfboard.n.01	noun.artifact	surfboard.n.01	surfboard.n.01:noun.artifact	noun.artifact	surfboard.n.01:noun.artifact	surfboard	board	board.n.03	surfboard	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	43	tennis racket	sports	instances_2017	tennis_racket	true	true	1	tennis_racket.n.01	noun.artifact	tennis_racket.n.01	tennis_racket.n.01:noun.artifact	noun.artifact	tennis_racket.n.01:noun.artifact	tennis_racket	racket	racket.n.04	tennis_racket|tennis_racquet	true	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	44	bottle	kitchen	instances_2017	bottle	false	true	3			bottle.n.01|bottle.n.02|bottle.n.03	bottle.n.01:noun.artifact|bottle.n.02:noun.quantity|bottle.n.03:noun.artifact	noun.artifact	bottle.n.01:noun.artifact|bottle.n.03:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	46	wine glass	kitchen	instances_2017	wine_glass	true	false	0					noun.artifact						false	no_exact_wordnet_noun_synset	no_exact_wordnet_noun_synset
COCO	47	cup	kitchen	instances_2017	cup	false	true	8			cup.n.01|cup.n.02|cup.n.03|cup.n.04|cup.n.05|cup.n.06|cup.n.07|cup.n.08	cup.n.01:noun.artifact|cup.n.02:noun.quantity|cup.n.03:noun.shape|cup.n.04:noun.quantity|cup.n.05:noun.plant|cup.n.06:noun.food|cup.n.07:noun.artifact|cup.n.08:noun.artifact	noun.artifact	cup.n.01:noun.artifact|cup.n.07:noun.artifact|cup.n.08:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	48	fork	kitchen	instances_2017	fork	false	true	5			fork.n.01|branching.n.01|fork.n.03|fork.n.04|crotch.n.02	fork.n.01:noun.artifact|branching.n.01:noun.act|fork.n.03:noun.shape|fork.n.04:noun.artifact|crotch.n.02:noun.body	noun.artifact	fork.n.01:noun.artifact|fork.n.04:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	49	knife	kitchen	instances_2017	knife	false	true	3			knife.n.01|knife.n.02|tongue.n.03	knife.n.01:noun.artifact|knife.n.02:noun.artifact|tongue.n.03:noun.shape	noun.artifact	knife.n.01:noun.artifact|knife.n.02:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	50	spoon	kitchen	instances_2017	spoon	false	true	3			spoon.n.01|spoon.n.02|spoon.n.03	spoon.n.01:noun.artifact|spoon.n.02:noun.quantity|spoon.n.03:noun.artifact	noun.artifact	spoon.n.01:noun.artifact|spoon.n.03:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	51	bowl	kitchen	instances_2017	bowl	false	true	9			bowl.n.01|bowl.n.02|bowl.n.03|bowl.n.04|stadium.n.01|bowling_ball.n.01|bowl.n.07|bowl.n.08|roll.n.15	bowl.n.01:noun.artifact|bowl.n.02:noun.shape|bowl.n.03:noun.artifact|bowl.n.04:noun.quantity|stadium.n.01:noun.artifact|bowling_ball.n.01:noun.artifact|bowl.n.07:noun.artifact|bowl.n.08:noun.artifact|roll.n.15:noun.act	noun.artifact	bowl.n.01:noun.artifact|bowl.n.03:noun.artifact|stadium.n.01:noun.artifact|bowling_ball.n.01:noun.artifact|bowl.n.07:noun.artifact|bowl.n.08:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	52	banana	food	instances_2017	banana	false	true	2	banana.n.02	noun.food	banana.n.01|banana.n.02	banana.n.01:noun.plant|banana.n.02:noun.food	noun.food	banana.n.02:noun.food	banana	edible_fruit	edible_fruit.n.01	banana	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	53	apple	food	instances_2017	apple	false	true	2	apple.n.01	noun.food	apple.n.01|apple.n.02	apple.n.01:noun.food|apple.n.02:noun.plant	noun.food	apple.n.01:noun.food	apple	edible_fruit	edible_fruit.n.01	apple	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	54	sandwich	food	instances_2017	sandwich	false	true	1	sandwich.n.01	noun.food	sandwich.n.01	sandwich.n.01:noun.food	noun.food	sandwich.n.01:noun.food	sandwich	snack_food	snack_food.n.01	sandwich	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	55	orange	food	instances_2017	orange	false	true	5	orange.n.01	noun.food	orange.n.01|orange.n.02|orange.n.03|orange.n.04|orange.n.05	orange.n.01:noun.food|orange.n.02:noun.attribute|orange.n.03:noun.plant|orange.n.04:noun.substance|orange.n.05:noun.object	noun.food	orange.n.01:noun.food	orange	citrus	citrus.n.01	orange	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	56	broccoli	food	instances_2017	broccoli	false	true	2	broccoli.n.02	noun.food	broccoli.n.01|broccoli.n.02	broccoli.n.01:noun.plant|broccoli.n.02:noun.food	noun.food	broccoli.n.02:noun.food	broccoli	cruciferous_vegetable	cruciferous_vegetable.n.01	broccoli	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	57	carrot	food	instances_2017	carrot	false	true	4	carrot.n.03	noun.food	carrot.n.01|carrot.n.02|carrot.n.03|carrot.n.04	carrot.n.01:noun.plant|carrot.n.02:noun.plant|carrot.n.03:noun.food|carrot.n.04:noun.act	noun.food	carrot.n.03:noun.food	carrot	root_vegetable	root_vegetable.n.01	carrot	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	58	hot dog	food	instances_2017	hot_dog	true	true	3			hotdog.n.01|hotdog.n.02|frank.n.02	hotdog.n.01:noun.person|hotdog.n.02:noun.food|frank.n.02:noun.food	noun.food	hotdog.n.02:noun.food|frank.n.02:noun.food					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	59	pizza	food	instances_2017	pizza	false	true	1	pizza.n.01	noun.food	pizza.n.01	pizza.n.01:noun.food	noun.food	pizza.n.01:noun.food	pizza	dish	dish.n.02	pizza|pizza_pie	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	60	donut	food	instances_2017	donut	false	true	1	doughnut.n.02	noun.food	doughnut.n.02	doughnut.n.02:noun.food	noun.food	doughnut.n.02:noun.food	doughnut	friedcake	friedcake.n.01	doughnut|donut|sinker	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	61	cake	food	instances_2017	cake	false	true	3			cake.n.01|patty.n.01|cake.n.03	cake.n.01:noun.artifact|patty.n.01:noun.food|cake.n.03:noun.food	noun.food	patty.n.01:noun.food|cake.n.03:noun.food					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	62	chair	furniture	instances_2017	chair	false	true	5			chair.n.01|professorship.n.01|president.n.04|electric_chair.n.01|chair.n.05	chair.n.01:noun.artifact|professorship.n.01:noun.act|president.n.04:noun.person|electric_chair.n.01:noun.artifact|chair.n.05:noun.artifact	noun.artifact	chair.n.01:noun.artifact|electric_chair.n.01:noun.artifact|chair.n.05:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	63	couch	furniture	instances_2017	couch	false	true	3			sofa.n.01|couch.n.02|couch.n.03	sofa.n.01:noun.artifact|couch.n.02:noun.artifact|couch.n.03:noun.artifact	noun.artifact	sofa.n.01:noun.artifact|couch.n.02:noun.artifact|couch.n.03:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	64	potted plant	furniture	instances_2017	potted_plant	true	false	0					noun.artifact						false	no_exact_wordnet_noun_synset	no_exact_wordnet_noun_synset
COCO	65	bed	furniture	instances_2017	bed	false	true	8			bed.n.01|bed.n.02|bed.n.03|bed.n.04|seam.n.03|layer.n.01|bed.n.07|bed.n.08	bed.n.01:noun.artifact|bed.n.02:noun.artifact|bed.n.03:noun.object|bed.n.04:noun.object|seam.n.03:noun.location|layer.n.01:noun.artifact|bed.n.07:noun.artifact|bed.n.08:noun.artifact	noun.artifact	bed.n.01:noun.artifact|bed.n.02:noun.artifact|layer.n.01:noun.artifact|bed.n.07:noun.artifact|bed.n.08:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	67	dining table	furniture	instances_2017	dining_table	true	true	1	dining_table.n.01	noun.artifact	dining_table.n.01	dining_table.n.01:noun.artifact	noun.artifact	dining_table.n.01:noun.artifact	dining_table	table	table.n.03	dining_table|board	true	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	70	toilet	furniture	instances_2017	toilet	false	true	4			toilet.n.01|toilet.n.02|gutter.n.02|toilet.n.04	toilet.n.01:noun.artifact|toilet.n.02:noun.artifact|gutter.n.02:noun.state|toilet.n.04:noun.act	noun.artifact	toilet.n.01:noun.artifact|toilet.n.02:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	72	tv	electronic	instances_2017	tv	false	true	2	television_receiver.n.01	noun.artifact	television.n.01|television_receiver.n.01	television.n.01:noun.communication|television_receiver.n.01:noun.artifact	noun.artifact	television_receiver.n.01:noun.artifact	television_receiver	receiver	receiver.n.01	television_receiver|television|television_set|tv|tv_set|idiot_box|boob_tube|telly|goggle_box	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	73	laptop	electronic	instances_2017	laptop	false	true	1	laptop.n.01	noun.artifact	laptop.n.01	laptop.n.01:noun.artifact	noun.artifact	laptop.n.01:noun.artifact	laptop	portable_computer	portable_computer.n.01	laptop|laptop_computer	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	74	mouse	electronic	instances_2017	mouse	false	true	4	mouse.n.04	noun.artifact	mouse.n.01|shiner.n.01|mouse.n.03|mouse.n.04	mouse.n.01:noun.animal|shiner.n.01:noun.state|mouse.n.03:noun.person|mouse.n.04:noun.artifact	noun.artifact	mouse.n.04:noun.artifact	mouse	electronic_device	electronic_device.n.01	mouse|computer_mouse	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	75	remote	electronic	instances_2017	remote	false	true	1	remote_control.n.01	noun.artifact	remote_control.n.01	remote_control.n.01:noun.artifact	noun.artifact	remote_control.n.01:noun.artifact	remote_control	device	device.n.01	remote_control|remote	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	76	keyboard	electronic	instances_2017	keyboard	false	true	2			keyboard.n.01|keyboard.n.02	keyboard.n.01:noun.artifact|keyboard.n.02:noun.artifact	noun.artifact	keyboard.n.01:noun.artifact|keyboard.n.02:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	77	cell phone	electronic	instances_2017	cell_phone	true	false	0					noun.artifact						false	no_exact_wordnet_noun_synset	no_exact_wordnet_noun_synset
COCO	78	microwave	appliance	instances_2017	microwave	false	true	2	microwave.n.02	noun.artifact	microwave.n.01|microwave.n.02	microwave.n.01:noun.phenomenon|microwave.n.02:noun.artifact	noun.artifact	microwave.n.02:noun.artifact	microwave	kitchen_appliance	kitchen_appliance.n.01	microwave|microwave_oven	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	79	oven	appliance	instances_2017	oven	false	true	1	oven.n.01	noun.artifact	oven.n.01	oven.n.01:noun.artifact	noun.artifact	oven.n.01:noun.artifact	oven	kitchen_appliance	kitchen_appliance.n.01	oven	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
COCO	80	toaster	appliance	instances_2017	toaster	false	true	2	toaster.n.02	noun.artifact	toaster.n.01|toaster.n.02	toaster.n.01:noun.person|toaster.n.02:noun.artifact	noun.artifact	toaster.n.02:noun.artifact	toaster	kitchen_appliance	kitchen_appliance.n.01	toaster	false	selected_by_coco_supercategory_wordnet_lexname	selected_by_coco_supercategory_wordnet_lexname
COCO	81	sink	appliance	instances_2017	sink	false	true	4			sink.n.01|sink.n.02|sinkhole.n.01|cesspool.n.01	sink.n.01:noun.artifact|sink.n.02:noun.process|sinkhole.n.01:noun.object|cesspool.n.01:noun.artifact	noun.artifact	sink.n.01:noun.artifact|cesspool.n.01:noun.artifact					false	ambiguous_after_coco_supercategory_wordnet_lexname	ambiguous_after_coco_supercategory_wordnet_lexname
COCO	82	refrigerator	appliance	instances_2017	refrigerator	false	true	1	refrigerator.n.01	noun.artifact	refrigerator.n.01	refrigerator.n.01:noun.artifact	noun.artifact	refrigerator.n.01:noun.artifact	refrigerator	white_goods	white_goods.n.01	refrigerator|icebox	false	single_exact_wordnet_noun_synset	single_exact_wordnet_noun_synset
