dataset	source_label	source_label_key	source_category_id	source_category_group	source_version	source_file	selection_status	duplicate_existing_label_key	duplicate_existing_datasets	duplicate_existing_labels	duplicate_existing_selected_oewn_synsets	is_mwe_candidate	mwe_candidate_status	wordnet_source	wordnet_version	wordnet_lexicon_id	selected_lookup_case	selected_query	has_oewn_noun_synset	oewn_synset_count	selected_oewn_synset	selected_oewn_lexfile	synset_lemmas	parent_oewn_synsets	parent_oewn_lexfiles	parent_lemmas	parent_selection_tag	all_oewn_synsets	all_oewn_lexfiles	selected_oewn_objectness_class	objectness_gate	manual_decision	manual_decision_note	wn30_selection_tag	wn30_lemma_counts	synset_selection_tag	decision_basis
visual_genome	alarm clock	alarm clock	vg_label_002357	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Alarm clock	oewn-02697521-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	alcohol	alcohol	vg_label_002375	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	alcohol	oewn-07900542-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	alligator	alligator	vg_label_002451	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	alligator	oewn-01701075-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	almond	almond	vg_label_002458	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	almond	oewn-07766562-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	alpaca	alpaca	vg_label_002485	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Alpaca	oewn-02440903-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	ambulance	ambulance	8	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Ambulance	oewn-02703861-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
openimages	Ambulance	ambulance	/m/012n7d	OpenImagesBoxable	openimages_2018_04_boxable	openimages_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Ambulance	oewn-02703861-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	ambulance	ambulance	vg_label_002550	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Ambulance	oewn-02703861-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	amplifier	amplifier	vg_label_002593	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	amplifier	oewn-02708803-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	animal	animal	vg_label_002823	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Animal	oewn-00015568-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	anklet	anklet	vg_label_002938	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	anklet	oewn-02715956-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	ant	ant	vg_label_002996	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Ant	oewn-02222138-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
openimages	Antelope	antelope	/m/0czz2	OpenImagesBoxable	openimages_2018_04_boxable	openimages_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Antelope	oewn-02422442-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	antelope	antelope	vg_label_003002	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Antelope	oewn-02422442-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	antenna	antenna	vg_label_003010	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	antenna	oewn-02718140-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	apple	apple	12	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	apple	oewn-07755101-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
objects365	Apple	apple	82	Objects365V2Dataset	objects365_v2_mmdetection_cfd5d3a985b0	objects365_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	apple	oewn-07755101-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
openimages	Apple	apple	/m/014j1m	OpenImagesBoxable	openimages_2018_04_boxable	openimages_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	apple	oewn-07755101-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	apple	apple	vg_label_003114	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	apple	oewn-07755101-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	applesauce	applesauce	vg_label_003200	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	applesauce	oewn-07841826-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	apricot	apricot	vg_label_003220	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	apricot	oewn-07766848-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	apron	apron	vg_label_003225	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	apron	oewn-02733935-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	aquarium	aquarium	vg_label_003247	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	aquarium	oewn-02735077-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	armband	armband	vg_label_003468	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	armband	oewn-02741454-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	armchair	armchair	vg_label_003471	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	armchair	oewn-02741540-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	armoire	armoire	vg_label_003478	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	armoire	oewn-02742555-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	armor	armor	vg_label_003479	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	armor	oewn-02742673-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	army tank	army tank	vg_label_003525	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	army tank	oewn-04396120-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	artichoke	artichoke	22	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Artichoke	oewn-07734492-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	artichoke	artichoke	vg_label_003629	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Artichoke	oewn-07734492-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	ashtray	ashtray	vg_label_003693	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	ashtray	oewn-02750807-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	asparagus	asparagus	25	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Asparagus	oewn-07734958-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
openimages	Asparagus	asparagus	/m/0cjs7	OpenImagesBoxable	openimages_2018_04_boxable	openimages_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Asparagus	oewn-07734958-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	asparagus	asparagus	vg_label_003742	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Asparagus	oewn-07734958-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	avocado	avocado	27	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Avocado	oewn-07780823-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	avocado	avocado	vg_label_004031	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Avocado	oewn-07780823-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	award	award	vg_label_004044	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	award	oewn-06709228-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	awning	awning	29	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Awning	oewn-02766906-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	awning	awning	vg_label_004059	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Awning	oewn-02766906-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	ax	ax	vg_label_004067	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	ax	oewn-02767049-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	axe	axe	vg_label_004070	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Axe	oewn-02767049-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	baby buggy	baby buggy	vg_label_004149	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	baby buggy	oewn-02769539-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	backpack	backpack	34	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	backpack	oewn-02772753-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
objects365	Backpack	backpack	38	Objects365V2Dataset	objects365_v2_mmdetection_cfd5d3a985b0	objects365_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	backpack	oewn-02772753-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
openimages	Backpack	backpack	/m/01940j	OpenImagesBoxable	openimages_2018_04_boxable	openimages_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	backpack	oewn-02772753-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	backpack	backpack	vg_label_004538	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	backpack	oewn-02772753-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	bagel	bagel	37	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Bagel	oewn-07709470-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	bagel	bagel	vg_label_004746	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Bagel	oewn-07709470-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	bait	bait	vg_label_004793	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	bait	oewn-02779210-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	baked goods	baked goods	vg_label_004802	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Baked goods	oewn-07637670-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	ball	ball	41	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Ball	oewn-02781674-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	ball	ball	vg_label_004909	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Ball	oewn-02781674-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	ballon	ballon	vg_label_004973	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Ballon		false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	balloon	balloon	43	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Balloon	oewn-02785116-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	balloon	balloon	vg_label_004977	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Balloon	oewn-02785116-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	bamboo	bamboo	vg_label_005011	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	bamboo	oewn-12167743-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	banana	banana	45	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	banana	oewn-07769568-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
objects365	Banana	banana	112	Objects365V2Dataset	objects365_v2_mmdetection_cfd5d3a985b0	objects365_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	banana	oewn-07769568-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
openimages	Banana	banana	/m/09qck	OpenImagesBoxable	openimages_2018_04_boxable	openimages_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	banana	oewn-07769568-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	banana	banana	vg_label_005046	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	banana	oewn-07769568-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	band aid	band aid	vg_label_005151	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	Band Aid	oewn-02789081-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	band-aid	band-aid	vg_label_005160	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Band-aid	oewn-02789081-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	bandage	bandage	vg_label_005161	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	bandage	oewn-02788671-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	bandanna	bandanna	vg_label_005167	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	bandanna	oewn-02789221-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	banjo	banjo	49	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Banjo	oewn-02790645-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	banjo	banjo	vg_label_005184	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Banjo	oewn-02790645-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	banner	banner	vg_label_005208	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	banner	oewn-02791044-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	barbell	barbell	51	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Barbell	oewn-02794019-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	barbell	barbell	vg_label_005291	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Barbell	oewn-02794019-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	barge	barge	52	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Barge	oewn-02795575-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	barge	barge	vg_label_005382	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Barge	oewn-02795575-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	barrel	barrel	53	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Barrel	oewn-02798551-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	barrel	barrel	vg_label_005417	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	openimages	Barrel	oewn-02798551-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	barrette	barrette	vg_label_005436	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	barrette	oewn-02799477-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	barrow	barrow	vg_label_005467	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	barrow	oewn-02800454-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	baseball	baseball	57	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Baseball	oewn-02802230-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	baseball	baseball	vg_label_005529	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	objects365	Baseball	oewn-02802230-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	baseball base	baseball base	vg_label_005534	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	baseball base		true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	baseball bat	baseball bat	58	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	baseball bat	oewn-02802334-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
objects365	Baseball Bat	baseball bat	137	Objects365V2Dataset	objects365_v2_mmdetection_cfd5d3a985b0	objects365_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	baseball bat	oewn-02802334-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
openimages	Baseball bat	baseball bat	/m/03g8mr	OpenImagesBoxable	openimages_2018_04_boxable	openimages_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	baseball bat	oewn-02802334-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	baseball bat	baseball bat	vg_label_005535	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	baseball bat	oewn-02802334-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	baseball cap	baseball cap	vg_label_005540	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	baseball cap	oewn-02802482-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
lvis	baseball glove	baseball glove	60	LVISCategory	lvis_v1_val	lvis_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	baseball glove	oewn-02803372-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
objects365	Baseball Glove	baseball glove	113	Objects365V2Dataset	objects365_v2_mmdetection_cfd5d3a985b0	objects365_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	baseball glove	oewn-02803372-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
openimages	Baseball glove	baseball glove	/m/03grzl	OpenImagesBoxable	openimages_2018_04_boxable	openimages_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	baseball glove	oewn-02803372-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	baseball glove	baseball glove	vg_label_005565	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	COCO	baseball glove	oewn-02803372-n	true	duplicate_existing_label_key				duplicate_existing_label_key																				duplicate_existing_label_key
visual_genome	basket	basket	vg_label_005664	VisualGenomeObjectName	visual_genome_objects_v1.4	visual_genome_oewn2025plus_synset_candidates.tsv	duplicate_existing_label_key	true	lvis	basket	oewn-02805104-n	false	not_mwe				duplicate_existing_label_key																				duplicate_existing_label_key
